"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412676","2011-01","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1.4","7","1.4","1,7","12","1,7","5","1,7","2","1,7","0","1,7","6","1,7","0","1,7","6","1,7","0","1,7","20110122","+,1,7","20110105",",1,7","20110131",",1,7","-3.9","1,7,22,+","41.1","1,,7,05,","25.0","1,7,31,","47.9","2,,,7","","","  16.1",",,,K,3,2","260.7","1,7","  20.0",",,,K,3,2","   6.7",",,,K,3,2","   7.8",",,,K,3,2","  10.7",",,,K,3,2","  13.5",",,,K,3,2","94.0","1,,,7","9.69","1,7","15.53","1,,,7","3.85","1,,,7","3255","1,,,7"
"USC00412676","2011-02","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","18.9","7","17.5","4,7","7","2,7","2","2,7","0","2,7","0","4,7","7","4,7","1","3,7","16","3,7","0","3,7","20110203","+,4,7","20110201",",2,7","20110224",",3,7","-7.2","4,7,03,+","4.8","2,,7,01,","27.8","3,7,24,","55.1","4,,,7","","","  20.0","3,,,K,3,2","148.6","3,7","  25.0","3,,,K,3,2","   4.4","3,,,K,3,2","   6.7","3,,,K,3,2","  12.6","3,,,K,3,2","  17.6","3,,,K,3,2","11.3","2,,,7","12.79","4,7","19.56","3,,,7","6.03","4,,,7","2974","4,,,7"
"USC00412676","2011-03","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","75.1","7","56.2",",7","6",",7","3",",7","0",",7","0",",7","0",",7","0",",7","25",",7","0",",7","20110306",",,7","20110314",",,7","20110327",",,7","1.7",",7,06,","10.7",",,7,14,","31.1",",7,27,","162.7",",,,7","","","  23.3",",,,K,3,2","59.6",",7","  32.2",",,,K,3,2","  14.4",",,,K,3,2","  19.4",",,,K,3,2","  19.1",",,,K,3,2","  24.9",",,,K,3,2","23.4",",,,7","18.22",",7","24.67",",,,7","11.78",",,,7","3320",",,,7"
"USC00412676","2011-04","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","198.9","7","123.8","2,7","3","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","4","2,7","20110406","+,2,7","20110412",",2,7","20110428","+,2,7","4.4","2,7,06,+","1.0","2,,7,12,","32.8","2,7,28,+","197.5","2,,,7","","","  27.8","2,,,K,3,2","8.1","2,7","  36.7","2,,,K,3,2","  20.0","2,,,K,3,2","  25.6","2,,,K,3,2","  23.5","2,,,K,3,2","  31.7","2,,,K,3,2","1.8","2,,,7","22.47","2,7","29.41","2,,,7","15.52","2,,,7","2872","2,,,7"
"USC00412676","2011-05","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","388.5","7","189.6","1,7","3","1,7","2","1,7","1","1,7","0","1,7","0","1,7","0","1,7","30","1,7","9","1,7","20110504",",1,7","20110513",",1,7","20110527",",1,7","8.9","1,7,04,","34.5","1,,7,13,","35.0","1,7,27,","221.6","1,,,7","","","  31.1","1,,,K,3,2","3.6","1,7","  40.6","1,,,K,3,2","  20.6","1,,,K,3,2","  28.3","1,,,K,3,2","  25.6","1,,,K,3,2","  34.3","1,,,K,3,2","37.8","1,,,7","24.53","1,7","30.35","1,,,7","18.71","1,,,7","3285","1,,,7"
"USC00412676","2011-06","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","693.7","7","305.2",",7","4",",7","3",",7","1",",7","0",",7","0",",7","0",",7","30",",7","29",",7","20110624","+,,7","20110622",",,7","20110606",",,7","19.4",",7,24,+","49.5",",,7,22,","37.8",",7,06,","237.5",",,,7","","","  32.8",",,,K,3,2","0.0",",7","  43.9",",,,K,3,2","  27.8",",,,K,3,2","  31.7",",,,K,3,2","  30.1",",,,K,3,2","  40.4",",,,K,3,2","82.7",",,,7","28.51",",7","34.82",",,,7","22.20",",,,7","1812",",,,7"
"USC00412676","2011-07","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","","","4","5,7","2","5,7","0","5,7","","","","","","","","","","","","","20110707",",5,7","","","","","19.6","5,,7,07,","","","189.0","5,,,7","","","","","","","","","","","","","","","","","24.5","5,,,7","","","","","","","",""
"USC00412676","2011-08","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","347.3","4,7","2","4,7","2","4,7","0","4,7","0","4,7","0","4,7","0","4,7","27","4,7","27","4,7","20110831","+,4,7","20110825",",4,7","20110829",",4,7","21.7","4,7,31,+","13.2","4,,7,25,","41.7","4,7,29,","234.6","4,,,7","","","  33.9","4,,,K,3,2","0.0","4,7","  46.1","4,,,K,3,2","  28.3","4,,,K,3,2","  39.4","4,,,K,3,2","  32.3","4,,,K,3,2","  44.0","4,,,K,3,2","24.1","4,,,7","31.20","4,7","38.73","4,,,7","23.67","4,,,7","1411","4,,,7"
"USC00412676","2011-09","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","264.6","2,7","5","2,7","1","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","28","2,7","20110906",",2,7","20110930",",2,7","20110914",",2,7","13.3","2,7,06,","2.8","2,,7,30,","39.4","2,7,14,","211.9","2,,,7","","","  31.7","2,,,K,3,2","0.0","2,7","  41.7","2,,,K,3,2","  26.1","2,,,K,3,2","  32.2","2,,,K,3,2","  28.6","2,,,K,3,2","  38.3","2,,,K,3,2","9.2","2,,,7","27.78","2,7","35.79","2,,,7","19.78","2,,,7","2226","2,,,7"
"USC00412676","2011-10","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","114.4",",7","3",",7","3",",7","1",",7","0",",7","0",",7","0",",7","28",",7","7",",7","20111031","+,,7","20111010",",,7","20111018","+,,7","5.0",",7,31,+","31.0",",,7,10,","32.8",",7,18,+","169.6",",,,7","","","  26.7",",,,K,3,2","26.3",",7","  33.9",",,,K,3,2","  16.1",",,,K,3,2","  19.4",",,,K,3,2","  22.6",",,,K,3,2","  30.3",",,,K,3,2","43.7",",,,7","21.17",",7","28.99",",,,7","13.36",",,,7","2710",",,,7"
