"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097796","1996-03","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","5,S","26","5,S","21","5,S","","","19960312",",5,S","","","35.0","5,S,12,","","","","","32.93","5,,,S","",""
"IDM00097796","1996-04","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","5,S","0","5,S","","","","","","","19960425",",5,S","","","22.0","5,S,25,","","","","","","","","","23.25","5,,,S"
"IDM00097796","1996-10","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","3,S","28","3,S","8","3,S","","","19961020",",3,S","","","33.7","3,S,20,","","","","","30.65","3,,,S","",""
"IDM00097796","1996-11","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","4,S","0","4,S","0","4,S","26","4,S","11","4,S","19961112",",4,S","19961114",",4,S","22.0","4,S,12,","33.7","4,S,14,","","","27.24","8,S","31.40","4,,,S","23.09","4,,,S"
"IDM00097796","1997-02","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","5,S","23","5,S","13","5,S","","","19970223",",5,S","","","34.8","5,S,23,","","","","","32.21","5,,,S","",""
"IDM00097796","1997-10","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","5,S","0","5,S","","","","","","","19971005",",5,S","","","20.5","5,S,05,","","","","","","","","","23.87","5,,,S"
"IDM00097796","1997-11","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","4,S","0","4,S","","","","","","","19971126",",4,S","","","22.4","4,S,26,","","","","","","","","","23.85","4,,,S"
"IDM00097796","1998-03","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","4,S","0","4,S","","","","","","","19980310",",4,S","","","21.0","4,S,10,","","","","","","","","","23.84","4,,,S"
"IDM00097796","1998-04","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","271.3","2,S","0","1,S","0","1,S","0","2,S","28","2,S","14","2,S","19980428","+,1,S","19980429",",2,S","23.4","1,S,28,+","33.8","2,S,29,","0.0","2,S","28.03","2,S","31.90","2,,,S","24.16","1,,,S"
"IDM00097796","1998-06","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","5,S","0","5,S","0","3,S","27","3,S","4","3,S","19980627",",5,S","19980628",",3,S","22.2","5,S,27,","33.4","3,S,28,","","","26.80","8,S","30.09","3,,,S","23.52","5,,,S"
"IDM00097796","1998-07","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","230.9","S","230.9","3,S","0","2,S","0","2,S","0","2,S","29","2,S","1","2,S","19980717",",2,S","19980720",",2,S","21.2","2,S,17,","33.3","2,S,20,","0.0","2,S","26.56","3,S","29.93","2,,,S","23.20","2,,,S"
"IDM00097796","1998-09","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","3,S","27","3,S","4","3,S","","","19980922",",3,S","","","33.0","3,S,22,","","","","","30.77","3,,,S","",""
"IDM00097796","1998-10","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","2,S","29","2,S","17","2,S","","","19981027",",2,S","","","35.2","2,S,27,","","","","","32.11","2,,,S","",""
"IDM00097796","1998-11","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","2,S","28","2,S","19","2,S","","","19981120",",2,S","","","35.1","2,S,20,","","","","","32.66","2,,,S","",""
"IDM00097796","1999-05","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","4,S","0","4,S","0","3,S","28","3,S","3","3,S","19990520","+,4,S","19990509",",3,S","21.5","4,S,20,+","32.6","3,S,09,","","","27.05","6,S","30.70","3,,,S","23.40","4,,,S"
"IDM00097796","1999-06","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","4,S","0","4,S","0","3,S","27","3,S","0","3,S","19990624",",4,S","19990602",",3,S","22.0","4,S,24,","31.6","3,S,02,","","","26.61","7,S","30.31","3,,,S","22.90","4,,,S"
"IDM00097796","1999-07","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","200.3","S","200.3","4,S","0","3,S","0","3,S","0","1,S","30","1,S","0","1,S","19990726",",3,S","19990702",",1,S","21.0","3,S,26,","31.0","1,S,02,","0.0","1,S","25.65","4,S","28.62","1,,,S","22.68","3,,,S"
"IDM00097796","1999-08","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","391.1","S","190.8","4,S","0","3,S","0","3,S","0","1,S","30","1,S","0","1,S","19990815",",3,S","19990806","+,1,S","20.4","3,S,15,","30.9","1,S,06,+","0.0","1,S","25.38","4,S","28.42","1,,,S","22.33","3,,,S"
"IDM00097796","1999-10","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","4,S","27","4,S","10","4,S","","","19991012",",4,S","","","33.8","4,S,12,","","","","","31.56","4,,,S","",""
"IDM00097796","1999-12","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","5,S","26","5,S","20","5,S","","","19991225",",5,S","","","34.6","5,S,25,","","","","","32.79","5,,,S","",""
"IDM00097796","2001-02","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","5,S","0","5,S","","","","","","","20010216",",5,S","","","22.8","5,S,16,","","","","","","","","","23.78","5,,,S"
"IDM00097796","2001-03","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","262.3","4,S","0","3,S","0","3,S","0","2,S","29","2,S","19","2,S","20010329","+,3,S","20010319",",2,S","22.8","3,S,29,+","34.6","2,S,19,","0.0","2,S","28.05","4,S","32.64","2,,,S","23.45","3,,,S"
"IDM00097796","2001-05","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","4,S","27","4,S","6","4,S","","","20010505",",4,S","","","32.9","4,S,05,","","","","","30.87","4,,,S","",""
"IDM00097796","2001-06","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","0","5,S","0","5,S","0","4,S","26","4,S","2","4,S","20010621",",5,S","20010609",",4,S","21.5","5,S,21,","32.8","4,S,09,","","","26.51","8,S","30.02","4,,,S","22.99","5,,,S"
"IDM00097796","2001-10","-4.717","136.433","3.0","KOKONAO TIMUKA, ID","","","","","","","","","0","5,S","26","5,S","15","5,S","","","20011017",",5,S","","","34.6","5,S,17,","","","","","32.26","5,,,S","",""
