"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00028382","1936-01","57.717","57.683","56.0","UST ISIM, RS","","","11",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360122",",,I","","","","","","","1.2",",,I,22,","","","","","7.3",",,,I","","","","","",""
"RSM00028382","1936-02","57.717","57.683","56.0","UST ISIM, RS","","","11",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360213",",,I","","","","","","","4.2",",,I,13,","","","","","12.8",",,,I","","","","","",""
"RSM00028382","1936-03","57.717","57.683","56.0","UST ISIM, RS","","","14",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360331",",,I","","","","","","","4.9",",,I,31,","","","","","23.3",",,,I","","","","","",""
"RSM00028382","1936-04","57.717","57.683","56.0","UST ISIM, RS","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360413",",,I","","","","","","","3.8",",,I,13,","","","","","10.7",",,,I","","","","","",""
"RSM00028382","1936-05","57.717","57.683","56.0","UST ISIM, RS","","","10",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19360520",",,I","","","","","","","22.2",",,I,20,","","","","","40.0",",,,I","","","","","",""
"RSM00028382","1936-06","57.717","57.683","56.0","UST ISIM, RS","","","7",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19360606",",,I","","","","","","","3.7",",,I,06,","","","","","14.1",",,,I","","","","","",""
"RSM00028382","1936-07","57.717","57.683","56.0","UST ISIM, RS","","","9",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360723",",,I","","","","","","","2.9",",,I,23,","","","","","11.5",",,,I","","","","","",""
"RSM00028382","1936-08","57.717","57.683","56.0","UST ISIM, RS","","","13",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19360828",",,I","","","","","","","18.6",",,I,28,","","","","","54.1",",,,I","","","","","",""
"RSM00028382","1936-09","57.717","57.683","56.0","UST ISIM, RS","","","10",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19360902",",,I","","","","","","","9.6",",,I,02,","","","","","28.9",",,,I","","","","","",""
"RSM00028382","1936-10","57.717","57.683","56.0","UST ISIM, RS","","","15",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","19361021",",,I","","","","","","","26.1",",,I,21,","","","","","61.5",",,,I","","","","","",""
"RSM00028382","1936-11","57.717","57.683","56.0","UST ISIM, RS","","","19",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19361120",",,I","","","","","","","5.9",",,I,20,","","","","","41.2",",,,I","","","","","",""
"RSM00028382","1936-12","57.717","57.683","56.0","UST ISIM, RS","","","14",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19361227","+,,I","","","","","","","3.1",",,I,27,+","","","","","21.6",",,,I","","","","","",""
"RSM00028382","1937-01","57.717","57.683","56.0","UST ISIM, RS","","","12",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370102",",,I","","","","","","","1.4",",,I,02,","","","","","9.1",",,,I","","","","","",""
"RSM00028382","1937-02","57.717","57.683","56.0","UST ISIM, RS","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19370209",",,I","","","","","","","5.3",",,I,09,","","","","","12.1",",,,I","","","","","",""
