"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00151080","1961-04","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","16","2,0","9","2,0","1","2,0","1",",0","1",",0","","","","","","","","","","","","","","","19610403",",,0","19610403",",,0","19610426",",2,0","","","","","25",",,0,03,","76",",,0,03,","35.6","2,,0,26,","","","108.3","3,,,0","","","","","","","","","132.6","2,,,0","76",",,,0","","","","","","","3183","2,,,0"
"USC00151080","1961-05","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","11",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610531","+,,0","19610531","+,,0","19610507",",,0","","","","","0",",,0,31,+","0",",,0,31,+","38.1",",,0,07,","","","119.5","2,,,0","","","","","","","","","112.6",",,,0","0",",,,0","","","","","","","2128",",,,0"
"USC00151080","1961-06","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","12",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610630","+,,0","19610630","+,,0","19610609",",,0","","","","","0",",,0,30,+","0",",,0,30,+","33.0",",,0,09,","","","147.2","1,,,0","","","","","","","","","128.0",",,,0","0",",,,0","","","","","","","1550",",,,0"
"USC00151080","1961-07","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","14",",0","13",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610731","+,,0","19610731","+,,0","19610716",",,0","","","","","0",",,0,31,+","0",",,0,31,+","39.1",",,0,16,","","","178.1",",,,0","","","","","","","","","206.4",",,,0","0",",,,0","","","","","","","1314",",,,0"
"USC00151080","1961-08","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","11",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610831","+,,0","19610831","+,,0","19610801",",,0","","","","","0",",,0,31,+","0",",,0,31,+","12.7",",,0,01,","","","129.6","2,,,0","","","","","","","","","45.2",",,,0","0",",,,0","","","","","","","734",",,,0"
"USC00151080","1961-09","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","7",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610930","+,,0","19610930","+,,0","19610921",",,0","","","","","0",",,0,30,+","0",",,0,30,+","38.1",",,0,21,","","","126.6",",,,0","","","","","","","","","56.5",",,,0","0",",,,0","","","","","","","1020",",,,0"
"USC00151080","1961-10","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","7",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19611031","+,,0","19611031","+,,0","19611004",",,0","","","","","0",",,0,31,+","0",",,0,31,+","19.3",",,0,04,","","","85.5",",,,0","","","","","","","","","69.1",",,,0","0",",,,0","","","","","","","930","1,,,0"
"USC00151080","1962-04","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","11",",0","5",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620430","+,,0","19620414",",,0","19620407",",,0","","","","","0",",,0,30,+","0",",T,0,14,","45.0",",,0,07,","","","113.2","3,,,0","","","","","","","","","105.3",",,,0","0",",T,,0","","","","","","","",""
"USC00151080","1962-08","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","6",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620831","+,,0","19620831","+,,0","19620822",",,0","","","","","0",",,0,31,+","0",",,0,31,+","64.8",",,0,22,","","","153.2","1,,,0","","","","","","","","","96.0",",,,0","0",",,,0","","","","","","","1150",",,,0"
"USC00151080","1963-04","37.3417","-83.4706","237.7","BUCKHORN LAKE, KY US","","","","","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630430","+,,0","19630430","+,,0","19630430",",,0","","","","","0",",,0,30,+","0",",,0,30,+","17.8",",,0,30,","","","142.6","1,,,0","","","","","","","","","37.6",",,,0","0",",,,0","","","","","","","2804","1,,,0"
