"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00517781","1999-10","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","227.5","2,0","4",",0","2",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","1","2,0","19991022","+,2,0","19991031","+,,0","19991031","+,,0","19991020",",,0","19991011",",2,0","19.4","2,0,22,+","0",",,0,31,+","0",",,0,31,+","50.8",",,0,20,","32.2","2,0,11,","0.0","2,0","59.2",",,,0","0",",,,0","26.18","2,0","30.56","2,,,0","21.80","2,,,0"
"USC00517781","1999-11","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","187.9","2,0","2",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","28","2,0","0","2,0","19991120","+,2,0","19991130","+,,0","19991130","+,,0","19991120",",,0","19991104","+,2,0","17.8","2,0,20,+","0",",,0,30,+","0",",,0,30,+","0.8",",,0,20,","30.6","2,0,04,+","0.0","2,0","1.3",",,,0","0",",,,0","25.04","2,0","29.11","2,,,0","20.98","2,,,0"
"USC00517781","1999-12","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","5","2,0","4","2,0","0","2,0","0",",0","0",",0","","","","","","","","","","","","","19991231","+,,0","19991231","+,,0","19991223",",2,0","","","","","0",",,0,31,+","0",",,0,31,+","6.4","2,,0,23,","","","","","29.5",",a,,0","0",",,,0","","","","","",""
"USC00517781","2000-01","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","3",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","20000131","+,,0","20000131","+,,0","20000120",",,0","","","","","0",",,0,31,+","0",",,0,31,+","6.6",",,0,20,","","","","","10.1",",,,0","0",",,,0","","","","","",""
"USC00517781","2000-02","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","20000229","+,,0","20000229","+,,0","20000229","+,,0","","","","","0",",,0,29,+","0",",,0,29,+","0.0",",,0,29,+","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00517781","2000-03","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","20000331","+,,0","20000331","+,,0","20000323",",,0","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,23,","","","","","1.3",",,,0","0",",,,0","","","","","",""
"USC00517781","2000-04","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","1","3,0","0","3,0","0","3,0","0",",0","0",",0","","","","","","","","","","","","","20000430","+,,0","20000430","+,,0","20000427",",3,0","","","","","0",",,0,30,+","0",",,0,30,+","2.0","3,,0,27,","","","","","9.6",",a,,0","0",",,,0","","","","","",""
"USC00517781","2000-05","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","20000531","+,,0","20000531","+,,0","20000531","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00517781","2000-06","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20000630","+,,0","20000630","+,,0","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","0",",,,0","","","","","",""
"USC00517781","2000-07","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20000731","+,,0","20000731","+,,0","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","0",",,,0","","","","","",""
"USC00517781","2000-08","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20000831","+,,0","20000831","+,,0","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","0",",,,0","","","","","",""
"USC00517781","2000-09","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20000930","+,,0","20000930","+,,0","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","0",",,,0","","","","","",""
"USC00517781","2002-04","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","149.5","4,0","3",",0","2",",0","0",",0","0","1,0","0",",0","0","4,0","0","4,0","0","4,0","26","4,0","0","4,0","20020402",",4,0","20020430","+,1,0","20020430","+,,0","20020421","+,,0","20020425",",4,0","16.1","4,0,02,","0","1,,0,30,+","0",",,0,30,+","3.8",",,0,21,+","30.0","4,0,25,","0.0","4,0","8.9",",,,0","0",",,,0","24.08","4,0","28.44","4,,,0","19.73","4,,,0"
"USC00517781","2002-05","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","2","2,0","2","2,0","1","2,0","0",",0","0",",0","","","","","","","","","","","","","20020531","+,,0","20020531","+,,0","20020504",",2,0","","","","","0",",,0,31,+","0",",,0,31,+","63.5","2,,0,04,","","","","","78.8",",a,,0","0",",,,0","","","","","",""
"USC00517781","2002-06","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","0","1,0","0","1,0","0","1,0","0",",0","0",",0","","","","","","","","","","","","","20020630","+,,0","20020630","+,,0","20020630","+,1,0","","","","","0",",,0,30,+","0",",,0,30,+","0.0","1,,0,30,+","","","","","0.0","1,,,0","0",",,,0","","","","","",""
"USC00517781","2002-07","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20020731","+,,0","20020731","+,,0","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","0",",,,0","","","","","",""
"USC00517781","2002-08","21.34472","-158.12778","2.4","PARADISE COVE 726.1, HI US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","20020831","+,,0","20020831","+,,0","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","0",",,,0","","","","","",""
