"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00405956","1987-08","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","300.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","19870830",",,0","19870831","+,,0","19870831","+,,0","","","19870804",",,0","19870804","+,,0","16.1",",0,30,","0",",,0,31,+","0",",,0,31,+","16.5",",,0,04,","38.3",",0,04,+","202.6",",,,0","","","  27.2",",,,0,3,2","  28.9","1,,,0,5,1","0.0",",0","  33.9",",,,0,3,2","  33.3","1,,,0,5,1","  21.7",",,,0,3,2","  23.3","1,,,0,5,1","  26.1",",,,0,3,2","  23.9","1,,,0,5,1","  25.7",",,,0,3,2","  27.1","1,,,0,5,1","  31.9",",,,0,3,2","  31.0","1,,,0,5,1","48.0",",,,0","0",",,,0","28.01",",0","34.00",",,,0","22.02",",,,0","1896",",,,0"
"USC00405956","1987-09","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","128.9","2,0","10",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","8",",0","","","19870925","+,2,0","19870930","+,,0","19870930","+,,0","","","19870913",",,0","19870905",",,0","10.0","2,0,25,+","0",",,0,30,+","0",",,0,30,+","13.5",",,0,13,","34.4",",0,05,","157.3","1,,,0","","","  26.1",",,,0,3,2","  26.1","1,,,0,5,1","1.7",",0","  31.7",",,,0,3,2","  30.6","1,,,0,5,1","  16.7",",,,0,3,2","  16.7","1,,,0,5,1","  24.4",",,,0,3,2","  22.8","1,,,0,5,1","  21.6",",,,0,3,2","  22.4","1,,,0,5,1","  28.0",",,,0,3,2","  27.0","1,,,0,5,1","46.2",",,,0","0",",,,0","22.92","2,0","30.08",",,,0","15.75","2,,,0","1584",",,,0"
"USC00405956","1987-10","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","1.1","2,0","7",",0","3",",0","1",",0","0",",0","0",",0","0","2,0","3","2,0","0",",0","18",",0","0",",0","","","19871022",",2,0","19871031","+,,0","19871031","+,,0","","","19871027",",,0","19871011",",,0","-1.7","2,0,22,","0",",,0,31,+","0",",,0,31,+","49.0",",,0,27,","28.9",",0,11,","124.4","1,,,0","","","  17.8",",,,1,3,2","  19.4",",,,1,5,1","143.7",",0","  24.4",",,,1,3,2","  23.9",",,,1,5,1","   8.3",",,,1,3,2","  11.7",",,,1,5,1","  13.9",",,,1,3,2","  12.8",",,,1,5,1","  12.5",",,,1,3,2","  14.6",",,,1,5,1","  18.5",",,,1,3,2","  18.1",",,,1,5,1","62.3",",,,0","0",",,,0","13.36","2,0","21.55",",,,0","5.18","2,,,0","2106",",,,0"
"USC00405956","1987-11","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","1.6",",0","11",",0","9",",0","4",",0","0",",0","0",",0","0",",0","5",",0","0",",0","9",",0","0",",0","","","19871122","+,,0","19871130","+,,0","19871130","+,,0","","","19871117",",,0","19871103","+,,0","-3.9",",0,22,+","0",",,0,30,+","0",",,0,30,+","74.7",",,0,17,","28.3",",0,03,+","","","","","","","","","194.9",",0","","","","","","","","","","","","","","","","","","","","","224.3",",,,0","0",",,,0","11.89",",0","17.92",",,,0","5.86",",,,0","",""
"USC00405956","1988-06","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","209.8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","22",",0","","","19880611",",,0","19880630","+,,0","19880630","+,,0","","","19880603",",,0","19880630","+,,0","9.4",",0,11,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,03,","37.8",",0,30,+","233.1","1,,,0","","","  27.8",",,,1,3,2","","","2.5",",0","  36.7",",,,1,3,2","","","  19.4",",,,1,3,2","","","  26.1",",,,1,3,2","","","  24.0",",,,1,3,2","","","  32.9",",,,1,3,2","","","1.1",",,,0","0",",,,0","25.25",",0","33.23",",,,0","17.26",",,,0","1742",",,,0"
"USC00405956","1988-07","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","247.8",",0","11",",0","10",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","19880723",",,0","19880731","+,,0","19880731","+,,0","","","19880721",",,0","19880718",",,0","17.2",",0,23,","0",",,0,31,+","0",",,0,31,+","50.0",",,0,21,","36.1",",0,18,","177.2","3,,,0","0.0","0","  28.3",",,,0,3,2","  27.2",",,,0,5,1","0.0",",0","  36.1",",,,0,3,2","  39.4",",,,0,5,1","  22.2",",,,0,3,2","  21.1",",,,0,5,1","  25.6",",,,0,3,2","  26.7",",,,0,5,1","  24.9",",,,0,3,2","  24.1",",,,0,5,1","  31.6",",,,0,3,2","  33.8",",,,0,5,1","212.3",",,,0","0",",,,0","26.33",",0","31.61",",,,0","21.04",",,,0","1705",",,,0"
"USC00405956","1988-08","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","293.9",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","19880831","+,,0","19880831","+,,0","19880831","+,,0","","","19880820",",,0","19880818",",,0","12.8",",0,31,+","0",",,0,31,+","0",",,0,31,+","16.0",",,0,20,","37.2",",0,18,","184.5","1,,,0","0.0","0","  30.0","1,,,0,3,2","  29.4",",,,0,5,1","0.0",",0","  38.3","1,,,0,3,2","  43.3",",,,0,5,1","  21.7","1,,,0,3,2","  20.6",",,,0,5,1","  27.8","1,,,0,3,2","  29.4",",,,0,5,1","  27.0","1,,,0,3,2","  26.1",",,,0,5,1","  34.7","1,,,0,3,2","  38.4",",,,0,5,1","36.3",",,,0","0",",,,0","27.81",",0","33.60",",,,0","22.02",",,,0","1492",",,,0"
"USC00405956","1988-09","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","151.7",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","19880908","+,,0","19880930","+,,0","19880930","+,,0","","","19880917",",,0","19880924","+,,0","7.8",",0,08,+","0",",,0,30,+","0",",,0,30,+","51.3",",,0,17,","33.9",",0,24,+","140.7",",,,0","5.0","0","  25.0",",,,0,3,2","  24.4",",,,0,5,1","5.0",",0","  32.8",",,,0,3,2","  36.7",",,,0,5,1","  18.3",",,,0,3,2","  16.7",",,,0,5,1","  25.0",",,,0,3,2","  25.6",",,,0,5,1","  22.1",",,,0,3,2","  21.4",",,,0,5,1","  28.8",",,,0,3,2","  30.3",",,,0,5,1","98.7",",,,0","0",",,,0","23.23",",0","29.00",",,,0","17.45",",,,0","1890",",,,0"
"USC00405956","1988-10","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","11.7",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","","","19881013",",,0","19881031","+,,0","19881031","+,,0","","","19881001",",,0","19881018",",,0","2.2",",0,13,","0",",,0,31,+","0",",,0,31,+","51.1",",,0,01,","27.8",",0,18,","105.2","2,,,0","163.3","0","  21.7",",,,0,3,2","  21.7",",,,0,5,1","158.3",",0","  26.7",",,,0,3,2","  27.8",",,,0,5,1","   8.9",",,,0,3,2","   6.7",",,,0,5,1","  11.1",",,,0,3,2","  11.1",",,,0,5,1","  13.1",",,,0,3,2","  11.8",",,,0,5,1","  18.4",",,,0,3,2","  19.8",",,,0,5,1","148.2",",,,0","0",",,,0","13.60",",0","19.88",",,,0","7.33",",,,0","1870",",,,0"
"USC00405956","1988-11","35.12975","-89.80376","91.4","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","1.4",",0","11",",0","7",",0","3",",0","0",",0","0",",0","0",",0","6",",0","0",",0","9",",0","0",",0","","","19881124","+,,0","19881130","+,,0","19881130","+,,0","","","19881120",",,0","19881105",",,0","-1.7",",0,24,+","0",",,0,30,+","0",",,0,30,+","85.9",",,0,20,","25.0",",0,05,","","","382.6","0","  12.2","3,,,0,3,2","  13.9","3,,,0,5,1","219.3",",0","  18.3","3,,,0,3,2","  18.9","3,,,0,5,1","   3.9","3,,,0,3,2","   0.0","3,,,0,5,1","   7.2","3,,,0,3,2","  11.1","3,,,0,5,1","   7.9","3,,,0,3,2","   6.1","3,,,0,5,1","  13.1","3,,,0,3,2","  14.8","3,,,0,5,1","240.9",",,,0","0",",,,0","11.07",",0","17.60",",,,0","4.53",",,,0","",""
