"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153246","1953-04","37.0013","-85.9072","234.7","GLASGOW, KY US","","","11.6",",0","8","3,0","5","3,0","1","3,0","0",",0","0",",0","0",",0","9",",0","0",",0","12",",0","0",",0","","","19530419",",,0","19530430","+,,0","19530430","+,,0","","","19530430",",3,0","19530429","+,,0","-2.2",",0,19,","0",",,0,30,+","0",",,0,30,+","30.7","3,,0,30,","27.2",",0,29,+","","","","","190.9",",0","","","","","","","","","","","68.3","3,,,0","0",",,,0","12.36",",0","19.03",",,,0","5.68",",,,0"
"USC00153246","1953-05","37.0013","-85.9072","234.7","GLASGOW, KY US","","","88.6",",0","13",",0","10",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","3",",0","","","19530509",",,0","19530531","+,,0","19530531","+,,0","","","19530516",",,0","19530531","+,,0","7.8",",0,09,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,16,","32.2",",0,31,+","","","","","15.8",",0","","","","","","","","","","","149.5",",,,0","0",",,,0","20.68",",0","26.57",",,,0","14.78",",,,0"
"USC00153246","1953-06","37.0013","-85.9072","234.7","GLASGOW, KY US","","","198.7",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","","","19530603","+,,0","19530630","+,,0","19530630","+,,0","","","19530616",",,0","19530625","+,,0","9.4",",0,03,+","0",",,0,30,+","0",",,0,30,+","38.4",",,0,16,","36.1",",0,25,+","","","","","0.6",",0","","","","","","","","","","","59.2",",,,0","0",",,,0","24.94",",0","32.03",",,,0","17.85",",,,0"
"USC00153246","1953-07","37.0013","-85.9072","234.7","GLASGOW, KY US","","","219.1",",0","11",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","","","19530711",",,0","19530731","+,,0","19530731","+,,0","","","19530717",",,0","19530701",",,0","12.8",",0,11,","0",",,0,31,+","0",",,0,31,+","41.7",",,0,17,","35.6",",0,01,","0.0","0","","","0.0",",0","","","","","","","","","","","120.7",",,,0","0",",,,0","25.40",",0","31.79",",,,0","19.02",",,,0"
"USC00153246","1953-08","37.0013","-85.9072","234.7","GLASGOW, KY US","","","191.2",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","19530820",",,0","19530831","+,,0","19530831","+,,0","","","19530817",",,0","19530831","+,,0","11.7",",0,20,","0",",,0,31,+","0",",,0,31,+","37.8",",,0,17,","36.7",",0,31,+","0.0","0","","","0.0",",0","","","","","","","","","","","60.4",",,,0","0",",,,0","24.50",",0","32.18",",,,0","16.82",",,,0"
"USC00153246","1953-09","37.0013","-85.9072","234.7","GLASGOW, KY US","","","100.1",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","19530913",",,0","19530930","+,,0","19530930","+,,0","","","19530919",",,0","19530901",",,0","5.0",",0,13,","0",",,0,30,+","0",",,0,30,+","16.5",",,0,19,","38.3",",0,01,","11.7","0","","","11.7",",0","","","","","","","","","","","20.8",",,,0","0",",,,0","21.28",",0","30.11",",,,0","12.45",",,,0"
"USC00153246","1953-10","37.0013","-85.9072","234.7","GLASGOW, KY US","","","23.1",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","23",",0","2",",0","","","19531030",",,0","19531031","+,,0","19531031","+,,0","","","19531027",",,0","19531002",",,0","-1.7",",0,30,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,27,","35.0",",0,02,","107.5","0","","","95.8",",0","","","","","","","","","","","25.8",",,,0","0",",,,0","15.99",",0","25.38",",,,0","6.60",",,,0"
"USC00153246","1953-11","37.0013","-85.9072","234.7","GLASGOW, KY US","","","0.0",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","16",",0","0",",0","8",",0","0",",0","","","19531108",",,0","19531130","+,,0","19531126",",,0","","","19531122",",,0","19531119",",,0","-7.8",",0,08,","0",",,0,30,+","0",",T,0,26,","32.0",",,0,22,","24.4",",0,19,","426.2","0","","","318.7",",0","","","","","","","","","","","37.0",",,,0","0",",T,,0","7.71",",0","15.64",",,,0","-0.22",",,,0"
"USC00153246","1953-12","37.0013","-85.9072","234.7","GLASGOW, KY US","","","0.0",",0","9",",0","6",",0","0",",0","1",",0","1",",0","0",",0","22",",0","3",",0","0",",0","0",",0","","","19531218",",,0","19531214",",,0","19531214",",,0","","","19531214",",,0","19531205",",,0","-16.1",",0,18,","76",",,0,14,","102",",,0,14,","19.6",",,0,14,","18.9",",0,05,","902.1","0","","","475.9",",0","","","","","","","","","","","79.8",",,,0","102",",,,0","2.98",",0","8.46",",,,0","-2.50",",,,0"
"USC00153246","1954-01","37.0013","-85.9072","234.7","GLASGOW, KY US","0.0","0","0.0",",0","12",",0","10",",0","2",",0","5",",0","1",",0","1",",0","21",",0","4",",0","0",",0","0",",0","","","19540113",",,0","19540110",",,0","19540110",",,0","","","19540120",",,0","19540120",",,0","-18.9",",0,13,","102",",,0,10,","102",",,0,10,","55.9",",,0,20,","16.7",",0,20,","1358.8","0","","","456.7",",0","","","","","","","","","","","206.8",",,,0","112",",,,0","3.60",",0","8.80",",,,0","-1.60",",,,0"
