"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012839","1948-01","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","67.8","0","67.8",",X","9",",X","7",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","0",",X","5","","","","19480115",",,X","19480131","+,,X","19480131","+,,X","","","19480113",",,X","19480131","+,,X","1.1",",X,15,","0",",,X,31,+","0",",,X,31,+","39.9",",,X,13,","28.3",",X,31,+","","","34.3",",X","98.8",",,,X","","","","","","","","","0",",,,X","19.41",",X","24.02",",,,X","14.81",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-02","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","170.1","0","102.3",",X","5",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","5","","","","19480202",",,X","19480229","+,,X","19480229","+,,X","","","19480215",",,X","19480214",",,X","8.9",",X,02,","0",",,X,29,+","0",",,X,29,+","18.3",",,X,15,","31.7",",X,14,","","","6.4",",X","26.0",",,,X","","","","","","","","","0",",,,X","21.64",",X","26.56",",,,X","16.72",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-03","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","364.5","0","194.4",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","19480330","+,,X","19480331","+,,X","19480331","+,,X","1","","19480328",",,X","19480325","+,,X","13.9",",X,30,+","0",",,X,31,+","0",",,X,31,+","4.3",",,X,28,","31.7",",X,25,+","","","0.0",",X","13.5",",,,X","","","","","","","","","0",",,,X","24.60",",X","28.75",",,,X","20.46",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-04","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","542.8","0","178.3",",X","14",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","3","","","","19480430",",,X","19480430","+,,X","19480430","+,,X","4","","19480427",",,X","19480402",",,X","15.6",",X,30,","0",",,X,30,+","0",",,X,30,+","62.0",",,X,27,","33.3",",X,02,","","","0.0",",X","172.4",",,,X","","","","","","","","","0",",,,X","24.28",",X","28.55",",,,X","20.00",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-05","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","764.8","0","222.0",",X","9",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","4",",X","6","","","","19480501",",,X","19480531","+,,X","19480531","+,,X","7","","19480530",",,X","19480530","+,,X","16.7",",X,01,","0",",,X,31,+","0",",,X,31,+","87.6",",,X,30,","33.3",",X,30,+","","","0.0",",X","169.0",",,,X","","","","","","","","","0",",,,X","25.50",",X","30.53",",,,X","20.46",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-06","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1038.7","0","273.9",",X","13",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","24",",X","","","","","19480603",",,X","19480630","+,,X","19480630","+,,X","11","","19480607",",,X","19480610","+,,X","19.4",",X,03,","0",",,X,30,+","0",",,X,30,+","42.7",",,X,07,","33.9",",X,10,+","","","0.0",",X","140.6",",,,X","","","","","","","","","0",",,,X","27.46",",X","32.28",",,,X","22.64",",,,X","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-07","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1332.2","0","293.5",",0","20",",0","13",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","19480726",",,0","19480731","+,,0","19480731","+,,0","14","","19480718","+,,0","19480718","+,,0","21.7",",0,26,","0",",,0,31,+","0",",,0,31,+","39.4",",,0,18,+","33.3",",0,18,+","0.0","0","0.0",",0","168.8",",,,0","","","","","","","","","0",",,,0","27.80",",0","32.16",",,,0","23.44",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-08","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1630.4","0","298.2",",0","16",",0","14",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","","","","","19480827",",,0","19480831","+,,0","19480831","+,,0","19","","19480821",",,0","19480817","+,,0","22.2",",0,27,","0",",,0,31,+","0",",,0,31,+","55.1",",,0,21,","33.3",",0,17,+","0.0","0","0.0",",0","217.5",",,,0","","","","","","","","","0",",,,0","27.95",",0","30.76",",,,0","25.15",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-09","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1901.7","0","271.3",",0","22",",0","19",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","15",",0","3","","","","19480926","+,,0","19480930","+,,0","19480930","+,,0","10","","19480921",",,0","19480911","+,,0","21.7",",0,26,+","0",",,0,30,+","0",",,0,30,+","146.1",",,0,21,","33.9",",0,11,+","0.0","0","0.0",",0","584.8",",,,0","","","","","","","","","0",",,,0","27.38",",0","31.20",",,,0","23.55",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-10","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2110.8","0","209.1",",0","13",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","2","","","","19481026","+,,0","19481031","+,,0","19481031","+,,0","1","","19481005",",,0","19481013",",,0","18.9",",0,26,+","0",",,0,31,+","0",",,0,31,+","252.7",",,0,05,","32.2",",0,13,","0.0","0","0.0",",0","354.2",",,,0","","","","","","","","","0",",,,0","25.08",",0","28.61",",,,0","21.55",",,,0","","","","","","","","","","","","","","","","","",""
