"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00358545","1893-01","44.6","-123.95","25.9","TOLEDO, OR US","0.0","6","0.0",",6","9",",6","8",",6","0",",6","","","","","0",",6","23",",6","0",",6","0",",6","0",",6","2","","18930131",",,6","","","","","","","18930113",",,6","18930106",",,6","-5.0",",6,31,","","","","","20.1",",,6,13,","16.7",",6,06,","","","407.7",",6","94.3",",,,6","","","5.18",",6","11.22",",,,6","-0.86",",,,6"
"USC00358545","1893-02","44.6","-123.95","25.9","TOLEDO, OR US","0.0","6","0.0",",6","19",",6","19",",6","2",",6","","","2",",6","0",",6","7",",6","0",",6","0",",6","0",",6","","","18930212",",,6","","","18930203",",,6","2","","18930203",",,6","18930219","+,,6","-2.2",",6,12,","","","38",",,6,03,","50.8",",,6,03,","14.4",",6,19,+","","","343.5",",6","275.2",",,,6","63",",,,6","6.06",",6","10.10",",,,6","2.03",",,,6"
"USC00358545","1893-03","44.6","-123.95","25.9","TOLEDO, OR US","0.0","6","0.0",",6","22",",6","21",",6","2",",6","","","","","0",",6","2",",6","0",",6","0",",6","0",",6","","","18930301",",,6","","","","","","","18930318",",,6","18930327","+,,6","-2.8",",6,01,","","","","","27.9",",,6,18,","17.2",",6,27,+","","","339.7",",6","249.0",",,,6","","","7.38",",6","12.05",",,,6","2.71",",,,6"
"USC00358545","1893-04","44.6","-123.95","25.9","TOLEDO, OR US","0.0","6","0.0",",6","20",",6","19",",6","3",",6","","","","","0",",6","4",",6","0",",6","0",",6","0",",6","12","","18930407",",,6","","","","","1","","18930401",",,6","18930425",",,6","-2.2",",6,07,","","","","","55.4",",,6,01,","18.3",",6,25,","","","314.6",",6","286.9",",,,6","","","7.85",",6","11.92",",,,6","3.77",",,,6"
"USC00358545","1893-05","44.6","-123.95","25.9","TOLEDO, OR US","0.0","6","0.0","1,6","10",",6","10",",6","0",",6","","","","","0","1,6","0","1,6","0",",6","3",",6","0",",6","7","","18930523",",1,6","","","","","","","18930517",",,6","18930506",",,6","1.7","1,6,23,","","","","","16.5",",,6,17,","23.3",",6,06,","","","205.8",",6","93.6",",,,6","","","11.47","1,6","17.06",",,,6","5.89","1,,,6"
"USC00358545","1893-06","44.6","-123.95","25.9","TOLEDO, OR US","3.9","6","3.9","1,6","7",",6","7",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","10",",6","1",",6","11","","18930618","+,1,6","","","","","","","18930610",",,6","18930604",",,6","2.2","1,6,18,+","","","","","35.3",",,6,10,","33.3",",6,04,","","","152.4",",6","67.8",",,,6","","","13.24","1,6","19.57",",,,6","6.91","1,,,6"
"USC00358545","1893-07","44.6","-123.95","25.9","TOLEDO, OR US","5.0","6","1.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","25",",6","0",",6","9","","18930723","+,,6","","","","","","","","","18930729",",,6","6.1",",6,23,+","","","","","","","30.0",",6,29,","77.4","6","77.4",",6","","","","","15.87",",6","23.44",",,,6","8.31",",,,6"
"USC00358545","1893-08","44.6","-123.95","25.9","TOLEDO, OR US","7.8","6","2.8","1,6","1",",6","1",",6","0",",6","","","0","1,6","0","1,6","0","1,6","0",",6","29",",6","0",",6","4","","18930824",",1,6","","","18930831","+,1,6","","","18930806",",,6","18930826",",,6","4.4","1,6,24,","","","0","1,,6,31,+","10.2",",,6,06,","31.7",",6,26,","135.4","6","58.0",",6","10.2",",,,6","0","1,,,6","16.52","1,6","23.87",",,,6","9.17","1,,,6"
"USC00358545","1893-09","44.6","-123.95","25.9","TOLEDO, OR US","7.8","6","0.0",",6","7",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","5",",6","0",",6","12","","18930922",",,6","","","","","","","18930926",",,6","18930914",",,6","1.7",",6,22,","","","","","29.5",",,6,26,","27.8",",6,14,","291.4","6","156.0",",6","101.1",",,,6","","","13.13",",6","19.34",",,,6","6.92",",,,6"
"USC00358545","1893-10","44.6","-123.95","25.9","TOLEDO, OR US","7.8","6","0.0",",6","9",",6","9",",6","2",",6","","","","","0",",6","2",",6","0",",6","0",",6","0",",6","7","","18931025",",,6","","","","","","","18931006",",,6","18931019",",,6","-0.6",",6,25,","","","","","95.3",",,6,06,","20.6",",6,19,","534.7","6","243.3",",6","216.0",",,,6","","","10.49",",6","16.29",",,,6","4.68",",,,6"
