"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00227582","1894-10","33.85","-91.01667","46.0","ROSEDALE, MS US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18941029",",,6","","","","","","","","","17.3",",,6,29,","","","","","","","","","","","","","","","","","","","17.3",",,,6","","","","","","","",""
"USC00227582","1894-11","33.85","-91.01667","46.0","ROSEDALE, MS US","","","","","","","","","","","","","","","","","","","0","3,6","16","3,6","0","3,6","","","","","","","","","","","","","18941102",",3,6","","","","","","","","","30.6","3,6,02,","","","","","","","","","","","","","","","","","","","","","","","21.02","3,,,6","",""
"USC00227582","1894-12","33.85","-91.01667","46.0","ROSEDALE, MS US","","","0.0",",6","9",",6","8",",6","1",",6","","","","","0",",6","16",",6","1",",6","10",",6","0",",6","","","18941229",",,6","","","","","","","18941210",",,6","18941209",",,6","-13.3",",6,29,","","","","","37.3",",,6,10,","26.1",",6,09,","","","","","316.4",",6","","","","","","","","","","","101.2",",,,6","","","8.13",",6","15.39",",,,6","0.86",",,,6"
"USC00227582","1895-01","33.85","-91.01667","46.0","ROSEDALE, MS US","3.3","6","3.3",",6","","","","","","","","","0",",6","0",",6","18",",6","1",",6","2",",6","0",",6","","","18950101",",,6","","","18950130",",,6","","","","","18950107",",,6","-13.9",",6,01,","","","0",",T,6,30,","","","23.9",",6,07,","","","","","418.4",",6","","","","","","","","","","","","","0",",T,,6","4.94",",6","10.69",",,,6","-0.81",",,,6"
"USC00227582","1895-02","33.85","-91.01667","46.0","ROSEDALE, MS US","3.3","6","0.0","3,6","","","","","","","","","","","0","3,6","19","3,6","3",",6","5",",6","0",",6","","","18950213",",3,6","","","","","","","","","18950227",",,6","-10.0","3,6,13,","","","","","","","27.2",",6,27,","","","","","342.4",",6","","","","","","","","","","","","","","","3.96","3,6","10.42",",,,6","-2.50","3,,,6"
"USC00227582","1895-03","33.85","-91.01667","46.0","ROSEDALE, MS US","35.6","6","32.3",",6","","","","","","","","","","","0",",6","7",",6","0",",6","18",",6","3",",6","","","18950305",",,6","","","","","","","","","18950330","+,,6","-5.0",",6,05,","","","","","","","33.3",",6,30,+","","","","","166.5",",6","","","","","","","","","","","","","","","14.00",",6","22.25",",,,6","5.75",",,,6"
"USC00227582","1895-04","33.85","-91.01667","46.0","ROSEDALE, MS US","124.0","6","88.4","1,6","5",",6","4",",6","1",",6","","","","","0","1,6","0","1,6","0","1,6","27","1,6","16","1,6","","","18950402",",1,6","","","","","","","18950425",",,6","18950430",",1,6","1.7","1,6,02,","","","","","35.3",",,6,25,","38.9","1,6,30,","","","","","30.9","1,6","","","","","","","","","","","70.4",",,,6","","","20.32","1,6","30.52","1,,,6","10.12","1,,,6"
"USC00227582","1895-05","33.85","-91.01667","46.0","ROSEDALE, MS US","289.3","6","165.3",",6","8",",6","7",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","19",",6","","","18950512",",,6","","","","","","","18950509",",,6","18950530",",,6","5.0",",6,12,","","","","","20.3",",,6,09,","38.3",",6,30,","","","","","12.2",",6","","","","","","","","","","","74.3",",,,6","","","23.27",",6","32.15",",,,6","14.39",",,,6"
"USC00227582","1895-10","33.85","-91.01667","46.0","ROSEDALE, MS US","","","8.4","2,6","","","","","","","","","","","0","1,6","6","1,6","0","2,6","20","2,6","0","2,6","","","18951027",",1,6","","","","","","","","","18951006",",2,6","-1.7","1,6,27,","","","","","","","30.6","2,6,06,","","","","","155.5","2,6","","","","","","","","","","","","","","","13.32","2,6","21.72","2,,,6","4.91","1,,,6"
"USC00227582","1895-11","33.85","-91.01667","46.0","ROSEDALE, MS US","","","5.0","2,6","","","","","","","","","","","0","2,6","11","2,6","0","2,6","8","2,6","0","2,6","","","18951126",",2,6","","","","","","","","","18951105",",2,6","-5.6","2,6,26,","","","","","","","26.1","2,6,05,","","","","","222.2","2,6","","","","","","","","","","","","","","","10.58","2,6","17.61","2,,,6","3.54","2,,,6"
