"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00157547","1893-01","37.41667","-83.66667","299.0","SOUTH FORK, KY US","11","5,6","11","5,6","1","5,6","","","","","","","","","18930122",",5,6","","","26.4","5,,6,22,","90.9","5,,,6","",""
"USC00157547","1893-02","37.41667","-83.66667","299.0","SOUTH FORK, KY US","6",",6","6",",6","2",",6","","","1","","","","","","18930217",",,6","","","35.6",",,6,17,","106.0",",,,6","",""
"USC00157547","1893-03","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","4",",6","0",",6","2",",6","","","18930304",",,6","","","18930304",",,6","64",",,6,04,","22.9",",,6,04,","53.7",",,,6","102",",,,6"
"USC00157547","1893-04","37.41667","-83.66667","299.0","SOUTH FORK, KY US","6",",6","6",",6","1",",6","","","1","","","","","","18930414",",,6","","","26.4",",,6,14,","88.2",",,,6","",""
"USC00157547","1893-05","37.41667","-83.66667","299.0","SOUTH FORK, KY US","8",",6","8",",6","1",",6","","","","","","","","","18930528",",,6","","","58.4",",,6,28,","148.8",",,,6","",""
"USC00157547","1893-06","37.41667","-83.66667","299.0","SOUTH FORK, KY US","7",",6","7",",6","1",",6","","","","","","","1","","18930606",",,6","","","38.4",",,6,06,","111.2",",,,6","",""
"USC00157547","1893-07","37.41667","-83.66667","299.0","SOUTH FORK, KY US","5",",6","5",",6","1",",6","","","","","","","","","18930729",",,6","","","30.7",",,6,29,","84.5",",,,6","",""
"USC00157547","1893-08","37.41667","-83.66667","299.0","SOUTH FORK, KY US","2",",6","2",",6","1",",6","","","","","","","","","18930812",",,6","","","31.0",",,6,12,","50.8",",,,6","",""
"USC00157547","1893-09","37.41667","-83.66667","299.0","SOUTH FORK, KY US","2",",6","2",",6","1",",6","","","","","","","","","18930925",",,6","","","26.9",",,6,25,","39.6",",,,6","",""
"USC00157547","1893-10","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","3",",6","1",",6","","","","","","","","","18931013",",,6","","","38.1",",,6,13,","80.0",",,,6","",""
"USC00157547","1893-11","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3",",6","3",",6","1",",6","","","1","","","","1","","18931104",",,6","","","52.1",",,6,04,","85.6",",,,6","",""
"USC00157547","1893-12","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3",",6","3",",6","1",",6","","","","","","","","","18931203",",,6","","","41.9",",,6,03,","79.5",",,,6","",""
"USC00157547","1894-01","37.41667","-83.66667","299.0","SOUTH FORK, KY US","5",",6","5",",6","0",",6","","","","","","","","","18940121",",,6","","","15.2",",,6,21,","55.4",",,,6","",""
"USC00157547","1894-02","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4","5,6","4","5,6","1","5,6","","","","","","","","","18940203",",5,6","","","55.9","5,,6,03,","94.5","5,,,6","",""
"USC00157547","1894-03","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3","1,6","3","1,6","0","1,6","","","2","","","","","","18940315",",1,6","","","12.4","1,,6,15,","25.9","1,,,6","",""
"USC00157547","1894-04","37.41667","-83.66667","299.0","SOUTH FORK, KY US","5",",6","5",",6","1",",6","","","1","","","","","","18940410",",,6","","","39.9",",,6,10,","78.2",",,,6","",""
"USC00157547","1894-06","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3",",6","3",",6","1",",6","","","","","","","","","18940626",",,6","","","48.3",",,6,26,","81.1",",,,6","",""
"USC00157547","1894-08","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3",",6","3",",6","1",",6","","","1","","","","","","18940811",",,6","","","36.8",",,6,11,","67.3",",,,6","",""
"USC00157547","1894-09","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","4",",6","1",",6","","","1","","","","","","18940918",",,6","","","38.1",",,6,18,","80.6",",,,6","",""
"USC00157547","1894-10","37.41667","-83.66667","299.0","SOUTH FORK, KY US","2",",6","2",",6","1",",6","","","1","","","","","","18941030",",,6","","","30.5",",,6,30,","42.4",",,,6","",""
"USC00157547","1894-11","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","4",",6","1",",6","","","","","","","","","18941117",",,6","","","51.3",",,6,17,","77.8",",,,6","",""
"USC00157547","1894-12","37.41667","-83.66667","299.0","SOUTH FORK, KY US","6","2,6","6","2,6","0","2,6","","","","","","","","","18941230",",2,6","","","23.4","2,,6,30,","100.4","2,,,6","",""
"USC00157547","1895-01","37.41667","-83.66667","299.0","SOUTH FORK, KY US","9","1,6","9","1,6","3","1,6","4",",6","","","18950127",",,6","","","18950116",",1,6","127",",,6,27,","50.8","1,,6,16,","197.0","1,,,6","382",",,,6"
"USC00157547","1895-02","37.41667","-83.66667","299.0","SOUTH FORK, KY US","5",",6","5",",6","0",",6","","","","","","","","","18950207",",,6","","","12.7",",,6,07,","38.1",",,,6","",""
"USC00157547","1895-03","37.41667","-83.66667","299.0","SOUTH FORK, KY US","6",",6","6",",6","1",",6","","","","","","","","","18950319",",,6","","","25.9",",,6,19,","85.8",",,,6","",""
"USC00157547","1895-04","37.41667","-83.66667","299.0","SOUTH FORK, KY US","9",",6","8",",6","0",",6","","","","","","","","","18950428",",,6","","","23.9",",,6,28,","115.6",",,,6","",""
"USC00157547","1895-05","37.41667","-83.66667","299.0","SOUTH FORK, KY US","5",",6","5",",6","1",",6","","","","","","","","","18950516",",,6","","","36.8",",,6,16,","68.8",",,,6","",""
"USC00157547","1895-06","37.41667","-83.66667","299.0","SOUTH FORK, KY US","2",",6","2",",6","1",",6","","","","","","","","","18950606",",,6","","","36.1",",,6,06,","49.1",",,,6","",""
"USC00157547","1895-07","37.41667","-83.66667","299.0","SOUTH FORK, KY US","6",",6","6",",6","2",",6","","","1","","","","","","18950723",",,6","","","50.8",",,6,23,","144.0",",,,6","",""
"USC00157547","1895-08","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","4",",6","0",",6","","","","","","","","","18950826",",,6","","","15.2",",,6,26,","44.9",",,,6","",""
"USC00157547","1895-09","37.41667","-83.66667","299.0","SOUTH FORK, KY US","3",",6","3",",6","0",",6","","","","","","","","","18950904",",,6","","","12.4",",,6,04,","28.2",",,,6","",""
"USC00157547","1895-10","37.41667","-83.66667","299.0","SOUTH FORK, KY US","4",",6","4",",6","1",",6","","","1","","","","","","18951031",",,6","","","25.4",",,6,31,","55.4",",,,6","",""
"USC00157547","1895-11","37.41667","-83.66667","299.0","SOUTH FORK, KY US","2",",6","2",",6","0",",6","","","","","","","","","18951109",",,6","","","25.1",",,6,09,","38.6",",,,6","",""
