"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00031587","1936-01","49.617","128.65","115.0","POJARKOVO, RS","6","1,I","0","1,I","0","1,I","","","","","","","","","","","","","","","","","19360112",",1,I","","","","","","","2.0","1,,I,12,","","","6.5","1,,,I","","","","","",""
"RSM00031587","1936-02","49.617","128.65","115.0","POJARKOVO, RS","2","1,I","0","1,I","0","1,I","","","","","","","","","","","","","","","","","19360217",",1,I","","","","","","","2.3","1,,I,17,","","","3.8","1,,,I","","","","","",""
"RSM00031587","1936-03","49.617","128.65","115.0","POJARKOVO, RS","1","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19360323",",1,I","","","","","","","2.9","1,,I,23,","","","2.9","1,,,I","","","","","",""
"RSM00031587","1936-05","49.617","128.65","115.0","POJARKOVO, RS","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360529",",,I","","","","","","","7.9",",,I,29,","","","34.7",",,,I","","","","","",""
"RSM00031587","1936-06","49.617","128.65","115.0","POJARKOVO, RS","18",",I","10",",I","0",",I","","","","","","","","","","","","","","","","","19360613",",,I","","","","","","","15.5",",,I,13,","","","82.8",",,,I","","","","","",""
"RSM00031587","1936-07","49.617","128.65","115.0","POJARKOVO, RS","15","1,I","11","1,I","0","1,I","","","","","","","","","","","","","","","","","19360725",",1,I","","","","","","","22.4","1,,I,25,","","","106.9","1,,,I","","","","","",""
"RSM00031587","1936-08","49.617","128.65","115.0","POJARKOVO, RS","11",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19360813",",,I","","","","","","","22.4",",,I,13,","","","111.2",",,,I","","","","","",""
"RSM00031587","1936-09","49.617","128.65","115.0","POJARKOVO, RS","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360923","+,,I","","","","","","","18.0",",,I,23,+","","","74.0",",,,I","","","","","",""
"RSM00031587","1936-10","49.617","128.65","115.0","POJARKOVO, RS","9","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19361011",",1,I","","","","","","","14.0","1,,I,11,","","","27.3","1,,,I","","","","","",""
"RSM00031587","1936-11","49.617","128.65","115.0","POJARKOVO, RS","6","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19361127",",1,I","","","","","","","3.7","1,,I,27,","","","8.7","1,,,I","","","","","",""
"RSM00031587","1936-12","49.617","128.65","115.0","POJARKOVO, RS","9",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19361201",",,I","","","","","","","3.0",",,I,01,","","","9.6",",,,I","","","","","",""
"RSM00031587","1937-01","49.617","128.65","115.0","POJARKOVO, RS","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19370105",",,I","","","","","","","3.0",",,I,05,","","","4.0",",,,I","","","","","",""
"RSM00031587","1937-02","49.617","128.65","115.0","POJARKOVO, RS","5",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370222",",,I","","","","","","","1.7",",,I,22,","","","5.6",",,,I","","","","","",""
"RSM00031587","1937-03","49.617","128.65","115.0","POJARKOVO, RS","2","2,I","0","2,I","0","2,I","","","","","","","","","","","","","","","","","19370301",",2,I","","","","","","","2.0","2,,I,01,","","","3.3","2,,,I","","","","","",""
"RSM00031587","1937-04","49.617","128.65","115.0","POJARKOVO, RS","4","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19370420",",1,I","","","","","","","6.2","1,,I,20,","","","12.6","1,,,I","","","","","",""
"RSM00031587","1937-05","49.617","128.65","115.0","POJARKOVO, RS","13",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19370514",",,I","","","","","","","2.7",",,I,14,","","","10.9",",,,I","","","","","",""
"RSM00031587","1937-06","49.617","128.65","115.0","POJARKOVO, RS","9","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19370619",",1,I","","","","","","","9.5","1,,I,19,","","","14.8","1,,,I","","","","","",""
"RSM00031587","1937-07","49.617","128.65","115.0","POJARKOVO, RS","18","1,I","12","1,I","2","1,I","","","","","","","","","","","","","","","","","19370711",",1,I","","","","","","","36.6","1,,I,11,","","","223.4","1,,,I","","","","","",""
"RSM00031587","1937-08","49.617","128.65","115.0","POJARKOVO, RS","10",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","19370802",",,I","","","","","","","33.4",",,I,02,","","","96.1",",,,I","","","","","",""
"RSM00031587","1937-09","49.617","128.65","115.0","POJARKOVO, RS","13",",I","6",",I","1",",I","","","","","","","","","","","","","","","","","19370902",",,I","","","","","","","41.3",",,I,02,","","","101.2",",,,I","","","","","",""
"RSM00031587","1937-10","49.617","128.65","115.0","POJARKOVO, RS","5","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19371011",",1,I","","","","","","","6.0","1,,I,11,","","","14.1","1,,,I","","","","","",""
