"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00295150","1957-07","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19570731","+,,0","19570731","+,,0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","","","",""
"USC00295150","1957-08","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","159.9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","19570827","+,,0","19570831","+,,0","19570831","+,,0","","","19570830",",,0","19570809",",,0","11.7",",0,27,+","0",",,0,31,+","0",",,0,31,+","4.1",",,0,30,","35.6",",0,09,","","","","","","","0.0",",0","","","","","","","","","","","","","","","14.0",",,,0","0",",,,0","23.49",",0","32.00",",,,0","14.98",",,,0","",""
"USC00295150","1957-09","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","38.9",",0","1","1,0","0","1,0","0","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","19570921","+,,0","19570930","+,,0","19570930","+,,0","","","19570910",",1,0","19570909",",,0","2.2",",0,21,+","0",",,0,30,+","0",",,0,30,+","1.3","1,,0,10,","33.9",",0,09,","","","","","","","25.0",",0","","","","","","","","","","","","","","","1.3","1,,,0","0",",,,0","18.80",",0","30.08",",,,0","7.52",",,,0","",""
"USC00295150","1957-10","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","0.0",",0","9",",0","3",",0","1",",0","0",",0","0",",0","0",",0","7",",0","0",",0","15",",0","0",",0","","","19571027","+,,0","19571031","+,,0","19571031","+,,0","","","19571012",",,0","19571001",",,0","-2.2",",0,27,+","0",",,0,31,+","0",",,0,31,+","26.7",",,0,12,","29.4",",0,01,","","","","","","","191.0",",0","","","","","","","","","","","","","","","41.1",",,,0","0",",,,0","12.17",",0","20.74",",,,0","3.61",",,,0","",""
"USC00295150","1957-11","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","0.0",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","0",",0","0",",0","","","19571130",",,0","19571130","+,,0","19571130","+,,0","","","19571105",",,0","19571102",",,0","-12.8",",0,30,","0",",,0,30,+","0",",,0,30,+","4.3",",,0,05,","18.3",",0,02,","","","","","","","423.2",",0","","","","","","","","","","","","","","","8.4",",,,0","0",",,,0","4.23",",0","12.37",",,,0","-3.92",",,,0","",""
"USC00295150","1957-12","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","","","0.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","0",",0","0",",0","","","19571201",",,0","19571231","+,,0","19571231","+,,0","","","19571224",",,0","19571216",",,0","-13.9",",0,01,","0",",,0,31,+","0",",,0,31,+","2.8",",,0,24,","17.2",",0,16,","","","","","","","514.1",",0","","","","","","","","","","","","","","","3.6",",,,0","0",",,,0","1.75",",0","11.60",",,,0","-8.10",",,,0","",""
"USC00295150","1958-01","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","","","1",",0","0",",0","31",",0","0",",0","0",",0","0",",0","","","19580121",",,0","","","19580120",",,0","","","19580120",",,0","19580130",",,0","-15.0",",0,21,","","","38",",,0,20,","1.3",",,0,20,","17.8",",0,30,","","","","","","","557.5",",0","","","","","","","","","","","","","","","1.3",",,,0","38",",,,0","0.35",",0","9.87",",,,0","-9.17",",,,0","",""
"USC00295150","1958-02","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","","","0","1,0","0",",0","24",",0","0",",0","2",",0","0",",0","","","19580228",",,0","","","19580228","+,1,0","","","19580226",",,0","19580217","+,,0","-14.4",",0,28,","","","0","1,,0,28,+","1.0",",,0,26,","21.1",",0,17,+","","","","","","","372.9",",0","","","","","","","","","","","","","","","1.0",",,,0","0","1,,,0","5.02",",0","15.13",",,,0","-5.09",",,,0","",""
"USC00295150","1958-03","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","0.0","0","0.0",",0","9",",0","2",",0","0",",0","","","","","0",",0","24",",0","0",",0","1",",0","0",",0","","","19580303",",,0","","","","","","","19580325",",,0","19580321",",,0","-10.6",",0,03,","","","","","15.0",",,0,25,","22.2",",0,21,","","","","","","","389.8",",0","","","","","","","","","","","","","","","34.9",",,,0","","","5.76",",0","13.91",",,,0","-2.40",",,,0","",""
"USC00295150","1958-04","34.7675","-106.7611","1475.2","LOS LUNAS 3 SSW, NM US","0.0","0","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","19",",0","0",",0","","","19580414","+,,0","19580430","+,,0","19580430","+,,0","","","19580416",",,0","19580423","+,,0","-4.4",",0,14,+","0",",,0,30,+","0",",,0,30,+","9.4",",,0,16,","30.0",",0,23,+","","","","","","","193.2",",0","","","","","","","","","","","","","","","21.8",",,,0","0",",,,0","11.89",",0","21.89",",,,0","1.90",",,,0","",""
