"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023061","1948-01","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0",",X","5",",X","2",",X","0",",X","14",",X","2",",X","21",",X","31",",X","15",",X","0",",X","0",",X","12","","","","19480128",",,X","19480130","+,,X","19480126",",,X","","","19480126",",,X","19480111",",,X","-45.6",",X,28,","203",",,X,30,+","165",",,X,26,","9.9",",,X,26,","6.7",",X,11,","","","","","893.8",",X","","","","","15.7",",,,X","","","","","","","268",",,,X","-10.50",",X","-0.30",",,,X","-20.70",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-02","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0",",X","7",",X","2",",X","0",",X","21",",X","3",",X","15",",X","29",",X","12",",X","0",",X","0",",X","10","","","","19480213",",,X","19480201",",,X","19480224",",,X","1","","19480224",",,X","19480220","+,,X","-37.2",",X,13,","178",",,X,01,","109",",,X,24,","4.3",",,X,24,","8.3",",X,20,+","","","","","782.5",",X","","","","","12.1",",,,X","","","","","","","262",",,,X","-8.65",",X","0.46",",,,X","-17.76",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-03","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0","1,X","6",",X","1",",X","0",",X","2",",X","2",",X","5",",X","31",",X","10","1,X","0","1,X","0","1,X","6","","","","19480312","+,,X","19480302","+,,X","19480301",",,X","","","19480301",",,X","19480324",",1,X","-22.2",",X,12,+","25",",,X,02,+","30",",,X,01,","2.5",",,X,01,","14.4","1,X,24,","","","","","645.1","1,X","","","","","6.1",",,,X","","","","","","","109",",,,X","-3.10","1,X","4.16","1,,,X","-10.36",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-04","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0",",X","4",",X","1",",X","0",",X","0",",X","3",",X","0",",X","22",",X","0",",X","5",",X","0",",X","1","","","","19480402",",,X","19480430","+,,X","19480426",",,X","1","","19480426",",,X","19480428",",,X","-9.4",",X,02,","0",",,X,30,+","56",",,X,26,","3.8",",,X,26,","24.4",",X,28,","","","","","338.9",",X","","","","","8.6",",,,X","","","","","","","128",",,,X","7.04",",X","16.22",",,,X","-2.14",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-05","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0",",X","8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","15",",X","0",",X","2","","","","19480510",",,X","19480531","+,,X","19480512","+,,X","9","","19480524",",,X","19480523","+,,X","-8.3",",X,10,","0",",,X,31,+","0",",T,X,12,+","8.1",",,X,24,","26.1",",X,23,+","","","","","225.8",",X","","","","","18.6",",,,X","","","","","","","0",",T,,X","11.05",",X","20.16",",,,X","1.94",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-06","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.8","0","0.8",",X","12",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","24",",X","0",",X","","","","","19480628","+,,X","19480630","+,,X","19480630","+,,X","12","","19480629",",,X","19480617","+,,X","1.7",",X,28,+","0",",,X,30,+","0",",,X,30,+","6.6",",,X,29,","29.4",",X,17,+","","","","","103.9",",X","","","","","33.1",",,,X","","","","","","","0",",,,X","14.90",",X","24.50",",,,X","5.30",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-07","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","9.1","0","8.3",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","1","","","","19480709",",,X","19480731","+,,X","19480731","+,,X","10","","19480718",",,X","19480713",",,X","3.3",",X,09,","0",",,X,31,+","0",",,X,31,+","2.3",",,X,18,","31.1",",X,13,","","","22.2","0","22.2",",X","","","","","6.2",",,,X","","","","","","","0",",,,X","17.88",",X","28.08",",,,X","7.69",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-08","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","13.6","0","4.5",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","1","","","","19480826",",,0","19480831","+,,0","19480831","+,,0","6","","19480819",",,0","19480817",",,0","0.6",",0,26,","0",",,0,31,+","0",",,0,31,+","5.8",",,0,19,","30.6",",0,17,","","","67.4","0","45.2",",0","","","","","14.8",",,,0","","","","","","","0",",,,0","17.02",",0","27.07",",,,0","6.97",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-09","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","13.6","0","0.0",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","29",",0","0",",0","","","","","19480923",",,0","19480930","+,,0","19480930","+,,0","2","","19480919",",,0","19480901",",,0","-3.9",",0,23,","0",",,0,30,+","0",",,0,30,+","1.3",",,0,19,","30.0",",0,01,","","","204.7","0","137.3",",0","","","","","3.5",",,,0","","","","","","","0",",,,0","13.76",",0","25.46",",,,0","2.06",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-10","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","13.6","0","0.0",",0","7",",0","3",",0","0",",0","0",",0","1",",0","0",",0","27",",0","0",",0","5",",0","0",",0","1","","","","19481018",",,0","19481031","+,,0","19481031",",,0","1","","19481028",",,0","19481009",",,0","-12.2",",0,18,","0",",,0,31,+","30",",,0,31,","6.4",",,0,28,","22.2",",0,09,","","","600.1","0","395.4",",0","","","","","15.5",",,,0","","","","","","","30",",,,0","5.58",",0","16.74",",,,0","-5.58",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-11","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","13.6","0","0.0",",0","4",",0","1",",0","0",",0","1",",0","2",",0","9",",0","30",",0","6",",0","0",",0","0",",0","1","","","","19481128",",,0","19481120",",,0","19481121","+,,0","","","19481121",",,0","19481102",",,0","-23.9",",0,28,","25",",,0,20,","25",",,0,21,+","2.5",",,0,21,","16.1",",0,02,","","","1272.2","0","672.1",",0","","","","","6.1",",,,0","","","","","","","73",",,,0","-4.07",",0","5.79",",,,0","-13.93",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1948-12","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","13.6","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","11",",0","31",",0","6",",0","0",",0","0",",0","","","","","19481207",",,0","19481208","+,,0","19481207",",,0","","","19481223",",,0","19481213","+,,0","-26.1",",0,07,","0",",T,0,08,+","18",",,0,07,","2.8",",,0,23,","13.3",",0,13,+","","","2007.9","0","735.7",",0","","","","","4.3",",,,0","","","","","","","23",",,,0","-5.40",",0","4.40",",,,0","-15.20",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00023061","1949-01","37.43931","-105.8618","2297.4","ALAMOSA BERGMAN FIELD, CO US","","","","","","","","","","","0.0","0","0.0",",0","8",",0","1",",0","0",",0","9",",0","2",",0","18",",0","31",",0","17",",0","0",",0","0",",0","7","","","","19490105",",,0","19490109",",,0","19490109",",,0","","","19490109",",,0","19490125",",,0","-31.7",",0,05,","76",",,0,09,","66",",,0,09,","3.3",",,0,09,","7.2",",0,25,","","","2878.3","0","870.4",",0","","","","","8.5",",,,0","","","","","","","167",",,,0","-9.74",",0","-1.46",",,,0","-18.03",",,,0","","","","","","","","","","","","","","","","","","","",""
