"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00383665","2017-02","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","7",",N","3",",N","0",",N","","","","","","","","","","","","","","","","","","","","","20170216",",,N","","","","","","","","","20.3",",,N,16,","","","","","","","","","","","","","","","","","","","","","39.0",",,,N","","","","","","","","","",""
"USC00383665","2017-03","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","8",",N","7",",N","0",",N","","","","","","","","","","","","","","","","","","","","","20170322",",,N","","","","","","","","","21.3",",,N,22,","","","","","","","","","","","","","","","","","","","","","57.1",",,,N","","","","","","","","","",""
"USC00383665","2017-04","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","6",",N","6",",N","2",",N","","","","","","","","","","","","","","","","","","","","","20170406",",,N","","","","","","","","","57.4",",,N,06,","","","","","","","","","","","","","","","","","","","","","146.6",",,,N","","","","","","","","","",""
"USC00383665","2017-05","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","11",",N","8",",N","1",",N","","","","","","","","","","","","","","","","","","","","","20170523",",,N","","","","","","","","","45.5",",,N,23,","","","","","","","","","","","","","","","","","","","","","121.9",",,,N","","","","","","","","","",""
"USC00383665","2017-06","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","10","1,N","7","1,N","1","1,N","","","","","","","","","","","","","","","","","","","","","20170616",",1,N","","","","","","","","","35.1","1,,N,16,","","","","","","","","","","","","","","","","","","","","","79.6","1,,,N","","","","","","","","","",""
"USC00383665","2017-07","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","16",",N","10",",N","0",",N","","","","","","","","","","","","","","","","","","","","","20170725","+,,N","","","","","","","","","24.9",",,N,25,+","","","","","","","","","","","","","","","","","","","","","158.1",",,,N","","","","","","","","","",""
"USC00383665","2017-08","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","13","1,N","9","1,N","0","1,N","","","","","","","","","","","","","","","","","","","","","20170807",",1,N","","","","","","","","","19.6","1,,N,07,","","","","","","","","","","","","","","","","","","","","","82.8","1,,,N","","","","","","","","","",""
"USC00383665","2017-09","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","5",",N","4",",N","1",",N","","","","","","","","","","","","","","","","","","","","","20170912",",,N","","","","","","","","","88.1",",,N,12,","","","","","","","","","","","","","","","","","","","","","113.8",",,,N","","","","","","","","","",""
"USC00383665","2017-10","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","5","2,N","2","2,N","1","2,N","","","","","","","","","","","","","","","","","","","","","20171009",",2,N","","","","","","","","","35.6","2,,N,09,","","","","","","","","","","","","","","","","","","","","","52.8","2,,,N","","","","","","","","","",""
"USC00383665","2017-11","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","6","2,N","5","2,N","1","2,N","","","","","","","","","","","","","","","","","","","","","20171105",",2,N","","","","","","","","","27.7","2,,N,05,","","","","","","","","","","","","","","","","","","","","","55.1","2,,,N","","","","","","","","","",""
"USC00383665","2017-12","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","9","1,N","6","1,N","2","1,N","","","","","","","","","","","","","","","","","","","","","20171221",",1,N","","","","","","","","","29.5","1,,N,21,","","","","","","","","","","","","","","","","","","","","","85.6","1,,,N","","","","","","","","","",""
"USC00383665","2018-01","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","6",",N","3",",N","1",",N","","","","","","","","","","","","","","","","","","","","","20180129",",,N","","","","","","","","","36.8",",,N,29,","","","","","","","","","","","","","","","","","","","","","61.2",",,,N","","","","","","","","","",""
"USC00383665","2018-02","33.56844","-81.73944","120.4","GRANITEVILLE 3.9 ENE, SC US","","","","","10",",N","4",",N","0",",N","","","","","","","","","","","","","","","","","","","","","20180205",",,N","","","","","","","","","14.7",",,N,05,","","","","","","","","","","","","","","","","","","","","","39.2",",,,N","","","","","","","","","",""
