"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294656","1946-11","35.08333","-106.56667","1626.1","LA MESA, NM US","3",",6","1",",6","0",",6","","","","","0","3,","25","3,6","19461118",",3,6","","","","","","","19461103",",,6","-7.2","3,6,18,","","","","","14.2",",,6,03,","14.8",",,,6","","","-3.02","3,,,6"
"USC00294656","1946-12","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","27",",6","19461231",",,6","","","","","","","","","-12.8",",6,31,","","","","","","","","","","","-4.23",",,,6"
"USC00294656","1947-01","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","30",",6","19470104",",,6","","","","","","","","","-17.2",",6,04,","","","","","","","","","","","-8.09",",,,6"
"USC00294656","1947-02","35.08333","-106.56667","1626.1","LA MESA, NM US","2",",6","1",",6","0",",6","","","","","0",",","25",",6","19470201",",,6","","","","","","","19470227",",,6","-8.9",",6,01,","","","","","3.6",",,6,27,","4.6",",,,6","","","-4.20",",,,6"
"USC00294656","1947-03","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","20",",6","19470316",",,6","","","","","","","","","-7.2",",6,16,","","","","","","","","","","","-1.47",",,,6"
"USC00294656","1947-04","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","10",",6","19470413",",,6","","","","","","","","","-6.1",",6,13,","","","","","","","","","","","2.61",",,,6"
"USC00294656","1947-05","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","0",",6","19470512",",,6","","","","","","","","","3.3",",6,12,","","","","","","","","","","","9.54",",,,6"
"USC00294656","1947-06","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","0",",6","19470622",",,6","","","","","","","","","3.9",",6,22,","","","","","","","","","","","11.82",",,,6"
"USC00294656","1947-07","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0","2,","0","2,6","19470719",",2,6","","","","","","","","","12.2","2,6,19,","","","","","","","","","","","17.09","2,,,6"
"USC00294656","1947-09","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","0",",6","19470913",",,6","","","","","","","","","7.2",",6,13,","","","","","","","","","","","13.52",",,,6"
"USC00294656","1947-10","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0","1,","7","1,6","19471026",",1,6","","","","","","","","","-2.8","1,6,26,","","","","","","","","","","","5.55","1,,,6"
"USC00294656","1947-12","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","0",",","31",",6","19471213",",,6","","","","","","","","","-12.8",",6,13,","","","","","","","","","","","-6.23",",,,6"
"USC00294656","1948-01","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","1","3,","28","3,6","19480129",",3,6","","","","","","","","","-17.8","3,6,29,","","","","","","","","","","","-7.58","3,,,6"
"USC00294656","1948-07","35.08333","-106.56667","1626.1","LA MESA, NM US","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"USC00294656","1948-08","35.08333","-106.56667","1626.1","LA MESA, NM US","7",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","19480831","+,,0","19480831","+,,0","14","","19480807",",,0","","","0",",,0,31,+","0",",,0,31,+","5.6",",,0,07,","16.6",",,,0","0",",,,0","",""
"USC00294656","1948-09","35.08333","-106.56667","1626.1","LA MESA, NM US","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","19480930","+,,0","19480930","+,,0","2","","19480926",",,0","","","0",",,0,30,+","0",",,0,30,+","8.9",",,0,26,","18.3",",,,0","0",",,,0","",""
