"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00311975","1891-03","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","","","6",",6","6",",6","3",",6","","","","","0","2,6","11","2,6","1","5,6","5","5,6","0","5,6","","","18910318",",2,6","","","","","","","18910326",",,6","18910331","+,5,6","-7.2","2,6,18,","","","","","38.1",",,6,26,","23.3","5,6,31,+","","","","","149.8",",,,6","","","8.62","6,6","14.40","5,,,6","2.84","2,,,6"
"USC00311975","1891-04","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","9.8","4,6","8",",6","8",",6","2",",6","","","","","0","2,6","2","2,6","0","2,6","18","2,6","0","2,6","","","18910409",",2,6","","","","","","","18910407",",,6","18910405",",2,6","-2.8","2,6,09,","","","","","31.8",",,6,07,","28.9","2,6,05,","","","104.0","2,6","110.6",",,,6","","","14.44","4,6","20.68","2,,,6","8.21","2,,,6"
"USC00311975","1891-05","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","73.6","1,6","","","","","","","","","","","0","1,6","0","1,6","0",",6","24",",6","1",",6","","","18910508","+,1,6","","","","","","","","","18910523",",,6","3.9","1,6,08,+","","","","","","","32.2",",6,23,","","","34.4",",6","","","","","19.64","1,6","24.54",",,,6","14.74","1,,,6"
"USC00311975","1891-06","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","188.8","3,6","6","1,6","4","1,6","1","1,6","","","","","0","2,6","0","2,6","0","1,6","28","1,6","15","1,6","","","18910607",",2,6","","","","","","","18910630",",1,6","18910626",",1,6","14.4","2,6,07,","","","","","58.4","1,,6,30,","35.6","1,6,26,","","","0.0","1,6","85.4","1,,,6","","","25.15","3,6","31.36","1,,,6","18.94","2,,,6"
"USC00311975","1891-07","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","180.3",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","5",",6","","","18910709",",,6","","","","","","","","","18910715","+,,6","12.8",",6,09,","","","","","","","33.3",",6,15,+","0.0","6","0.0",",6","","","","","24.15",",6","29.66",",,,6","18.64",",,,6"
"USC00311975","1891-08","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","199.8","1,6","","","","","","","","","","","0","1,6","0","1,6","0","1,6","28","1,6","12","1,6","","","18910829",",1,6","","","","","","","","","18910822",",1,6","13.3","1,6,29,","","","","","","","34.4","1,6,22,","3.1","6","3.1","1,6","","","","","24.89","1,6","29.91","1,,,6","19.87","1,,,6"
"USC00311975","1891-09","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","117.2",",6","","","","","","","","","","","0",",6","0",",6","0",",6","29",",6","2",",6","","","18910915","+,,6","","","","","","","","","18910924","+,,6","12.2",",6,15,+","","","","","","","32.2",",6,24,+","3.1","6","0.0",",6","","","","","22.24",",6","28.41",",,,6","16.07",",,,6"
"USC00311975","1891-10","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","18.6","3,6","","","","","","","","","","","0","1,6","4","1,6","0","2,6","11","2,6","0","2,6","","","18911027",",1,6","","","","","","","","","18911004",",2,6","-4.4","1,6,27,","","","","","","","31.1","2,6,04,","146.6","6","143.5","2,6","","","","","13.82","3,6","20.53","2,,,6","7.10","1,,,6"
"USC00311975","1892-01","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","","","8",",6","8",",6","5",",6","","","","","","","","","1","5,6","0","5,6","0","5,6","","","","","","","","","","","18920119",",,6","18920125",",5,6","","","","","","","78.7",",,6,19,","20.0","5,6,25,","","","","","292.0",",,,6","","","","","9.47","5,,,6","",""
"USC00311975","1892-02","35.41374","-80.56383","204.2","CONCORD, NC US","","","","","","","6",",6","5",",6","3",",6","","","","","0","4,6","7","4,6","0","4,6","1","4,6","0","4,6","","","18920212",",4,6","","","","","","","18920208",",,6","18920202",",4,6","-8.9","4,6,12,","","","","","38.1",",,6,08,","21.1","4,6,02,","","","","","106.9",",,,6","","","7.37","8,6","13.40","4,,,6","1.33","4,,,6"
