"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153451","1916-09","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","99.7",",6","7",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","7",",6","","","19160930","+,,6","","","19160930","+,,6","","","19160901",",,6","19160907",",,6","1.7",",6,30,+","","","0",",,6,30,+","22.9",",,6,01,","35.6",",6,07,","","","","","38.1",",6","","","","","","","","","","","73.1",",,,6","0",",,,6","20.39",",6","28.20",",,,6","12.58",",,,6"
"USC00153451","1916-10","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","23.9",",6","4",",6","4",",6","0",",6","","","0",",6","0",",6","4",",6","0",",6","22",",6","2",",6","","","19161022",",,6","","","19161031","+,,6","","","19161018",",,6","19161007",",,6","-2.2",",6,22,","","","0",",,6,31,+","22.9",",,6,18,","33.3",",6,07,","","","","","122.4",",6","","","","","","","","","","","64.8",",,,6","0",",,,6","15.15",",6","23.32",",,,6","6.99",",,,6"
"USC00153451","1916-11","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","0.6",",6","3",",6","2",",6","0",",6","","","","","0",",6","13",",6","0",",6","11",",6","0",",6","","","19161115",",,6","","","","","","","19161109",",,6","19161106","+,,6","-11.1",",6,15,","","","","","15.5",",,6,09,","26.1",",6,06,+","","","","","261.2",",6","","","","","","","","","","","27.5",",,,6","","","9.65",",6","17.22",",,,6","2.07",",,,6"
"USC00153451","1916-12","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","0.0",",6","12",",6","9",",6","1",",6","","","2",",6","2",",6","23",",6","3",",6","1",",6","0",",6","","","19161215",",,6","","","19161222",",,6","","","19161227",",,6","19161207",",,6","-18.9",",6,15,","","","152",",,6,22,","27.9",",,6,27,","21.1",",6,07,","","","","","499.5",",6","","","","","","","","","","","107.4",",,,6","229",",,,6","2.22",",6","8.38",",,,6","-3.94",",,,6"
"USC00153451","1917-01","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","0.0","6","0.0",",6","13",",6","9",",6","1",",6","","","3",",6","1",",6","18",",6","3",",6","1",",6","0",",6","","","19170114",",,6","","","19170113",",,6","","","19170105",",,6","19170131",",,6","-21.1",",6,14,","","","178",",,6,13,","32.0",",,6,05,","21.1",",6,31,","","","","","462.2",",6","","","","","","","","","","","129.9",",,,6","267",",,,6","3.42",",6","9.04",",,,6","-2.19",",,,6"
"USC00153451","1917-02","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","","","7",",6","5",",6","1",",6","","","1",",6","","","","","","","","","","","","","","","","","19170215",",,6","","","19170228",",,6","","","","","","","51",",,6,15,","28.7",",,6,28,","","","","","","","","","","","","","","","","","","","77.7",",,,6","67",",,,6","","","","","",""
"USC00153451","1917-03","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","","","14",",6","11",",6","2",",6","","","3",",6","0",",6","11",",6","","","","","","","","","19170306","+,,6","","","19170304",",,6","","","19170312",",,6","","","-10.6",",6,06,+","","","102",",,6,04,","49.0",",,6,12,","","","","","","","","","","","","","","","","","","","162.4",",,,6","203",",,,6","","","","","2.22",",,,6"
"USC00153451","1917-04","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","13.9","2,6","8",",6","8",",6","2",",6","","","","","0","2,6","4","2,6","0","2,6","15","2,6","0","2,6","","","19170410",",2,6","","","","","","","19170402",",,6","19170427","+,2,6","-1.7","2,6,10,","","","","","56.4",",,6,02,","29.4","2,6,27,+","","","","","139.0","2,6","","","","","","","","","","","167.6",",,,6","","","13.86","2,6","21.07","2,,,6","6.66","2,,,6"
"USC00153451","1917-05","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","23.5","3,6","6",",6","4",",6","1",",6","","","","","0","3,6","0","3,6","0","3,6","17","3,6","0","3,6","","","19170514",",3,6","","","","","","","19170522",",,6","19170531","+,3,6","2.2","3,6,14,","","","","","28.7",",,6,22,","29.4","3,6,31,+","","","","","104.5","3,6","","","","","","","","","","","67.3",",,,6","","","15.44","3,6","22.34","3,,,6","8.54","3,,,6"
"USC00153451","1917-06","37.18333","-87.21667","167.6","GREENVILLE 2 W, KY US","","","113.4","3,6","9",",6","9",",6","1",",6","","","","","0","3,6","0","3,6","0","3,6","26","3,6","4","3,6","","","19170619",",3,6","","","","","","","19170601",",,6","19170627","+,3,6","5.6","3,6,19,","","","","","37.6",",,6,01,","33.9","3,6,27,+","","","","","8.9","3,6","","","","","","","","","","","122.0",",,,6","","","22.20","3,6","28.64","3,,,6","15.76","3,,,6"
