"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00489615","1893-01","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","1",",6","4",",6","26",",6","1",",6","0",",6","0",",6","","","18930128",",,6","","","18930114",",,6","","","18930114",",,6","18930106",",,6","-26.7",",6,28,","","","51",",,6,14,","5.1",",,6,14,","14.4",",6,06,","","","","","","","","","","","","","548.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1",",,,6","51",",,,6","0.64",",6","7.97",",,,6","-6.69",",,,6"
"USC00489615","1893-02","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","0.0","6","0.0","1,6","","","","","","","","","1",",6","4","1,6","27","1,6","5","1,6","0","1,6","0","1,6","","","18930227",",1,6","","","18930227",",,6","","","","","18930204",",1,6","-22.2","1,6,27,","","","102",",,6,27,","","","15.6","1,6,04,","","","","","","","","","","","","","541.5","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102",",,,6","-1.72","1,6","5.84","1,,,6","-9.28","1,,,6"
"USC00489615","1893-03","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","29",",6","4",",6","2",",6","0",",6","","","18930315","+,,6","","","18930308",",,6","","","","","18930330",",,6","-15.0",",6,15,+","","","76",",,6,08,","","","23.9",",6,30,","","","","","","","","","","","","","498.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127",",,,6","2.25",",6","9.57",",,,6","-5.07",",,,6"
"USC00489615","1893-04","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","0.0","6","0.0",",6","4",",6","4",",6","0",",6","","","","","0",",6","22",",6","1",",6","4",",6","0",",6","","","18930406",",,6","","","","","","","18930428",",,6","18930403",",,6","-11.7",",6,06,","","","","","12.7",",,6,28,","24.4",",6,03,","","","","","","","","","","","","","401.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6",",,,6","","","4.95",",6","12.80",",,,6","-2.90",",,,6"
"USC00489615","1893-05","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","2.5","6","2.5",",6","3",",6","3",",6","0",",6","","","","","0",",6","8",",6","0",",6","16",",6","0",",6","","","18930503","+,,6","","","","","","","18930506",",,6","18930518","+,,6","-4.4",",6,03,+","","","","","12.7",",,6,06,","30.6",",6,18,+","","","","","","","","","","","","","210.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9",",,,6","","","11.63",",6","20.49",",,,6","2.78",",,,6"
"USC00489615","1893-06","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","86.6","6","84.1",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","14",",6","","","18930606",",,6","","","","","","","18930605",",,6","18930618",",,6","2.2",",6,06,","","","","","2.5",",,6,05,","42.2",",6,18,","","","","","","","","","","","","","42.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5",",,,6","","","19.71",",6","29.48",",,,6","9.95",",,,6"
"USC00489615","1893-07","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","238.8","6","152.2",",6","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","18",",6","","","18930717",",,6","","","","","","","18930725",",,6","18930723",",,6","7.8",",6,17,","","","","","7.6",",,6,25,","40.0",",6,23,","0.5","6","","","","","","","","","","","0.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0",",,,6","","","23.22",",6","32.60",",,,6","13.85",",,,6"
"USC00489615","1893-08","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","335.7","6","96.9",",6","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","10",",6","","","18930828","+,,6","","","","","","","18930820",",,6","18930806",",,6","4.4",",6,28,+","","","","","3.8",",,6,20,","44.4",",6,06,","11.3","6","","","","","","","","","","","10.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8",",,,6","","","21.11",",6","30.87",",,,6","11.35",",,,6"
"USC00489615","1893-09","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","378.9","6","43.2",",6","0",",6","0",",6","0",",6","","","","","0",",6","3",",6","0",",6","28",",6","7",",6","","","18930925",",,6","","","","","","","18930930",",,6","18930903",",,6","-2.8",",6,25,","","","","","0.0",",T,6,30,","37.2",",6,03,","87.9","6","","","","","","","","","","","76.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","17.22",",6","27.92",",,,6","6.52",",,,6"
"USC00489615","1893-10","42.11011","-104.94912","1410.0","WHEATLAND 4 N, WY US","378.9","6","0.0","2,6","1",",6","1",",6","0",",6","","","","","0","1,6","17","1,6","0","1,6","13","1,6","0","1,6","","","18931027","+,1,6","","","","","","","18931011",",,6","18931015","+,1,6","-5.6","1,6,27,+","","","","","15.2",",,6,11,","26.1","1,6,15,+","334.9","6","","","","","","","","","","","247.0","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2",",,,6","","","9.75","2,6","19.09","1,,,6","0.40","1,,,6"
