"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00456477","1927-05","46.05","-122.2","182.9","PETERSONS RANCH, WA US","16",",6","13",",6","2",",6","","","","","","","","","","","","","","","19270517",",,6","","","","","","","36.1",",,6,17,","","","155.0",",,,6","","","",""
"USC00456477","1927-06","46.05","-122.2","182.9","PETERSONS RANCH, WA US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","19270623",",,6","","","","","","","17.8",",,6,23,","","","50.4",",,,6","","","",""
"USC00456477","1927-07","46.05","-122.2","182.9","PETERSONS RANCH, WA US","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","19270703",",,6","","","","","","","4.1",",,6,03,","","","9.4",",,,6","","","",""
"USC00456477","1927-08","46.05","-122.2","182.9","PETERSONS RANCH, WA US","8",",6","4",",6","1",",6","","","","","","","","","","","","","","","19270831",",,6","","","","","","","29.5",",,6,31,","","","46.0",",,,6","","","",""
"USC00456477","1927-09","46.05","-122.2","182.9","PETERSONS RANCH, WA US","19",",6","18",",6","4",",6","","","","","","","","","","","","","","","19270927",",,6","","","","","","","64.8",",,6,27,","","","312.2",",,,6","","","",""
"USC00456477","1927-10","46.05","-122.2","182.9","PETERSONS RANCH, WA US","18",",6","13",",6","3",",6","","","","","","","","","","","","","","","19271003",",,6","","","","","","","58.4",",,6,03,","","","295.3",",,,6","","","",""
"USC00456477","1927-11","46.05","-122.2","182.9","PETERSONS RANCH, WA US","28",",6","27",",6","17",",6","","","","","","","","","","","","","","","19271124",",,6","","","","","","","91.4",",,6,24,","","","798.5",",,,6","","","",""
"USC00456477","1927-12","46.05","-122.2","182.9","PETERSONS RANCH, WA US","23",",6","15",",6","3",",6","24","5,6","","","","","","","","","19271231",",5,6","","","19271224",",,6","","","432","5,,6,31,","","","35.6",",,6,24,","","","200.0",",,,6","","","",""
"USC00456477","1928-01","46.05","-122.2","182.9","PETERSONS RANCH, WA US","","","","","","","31",",6","","","","","","","","","19280101",",,6","","","","","","","406",",,6,01,","","","","","","","","","","","",""
"USC00456477","1929-01","46.05","-122.2","182.9","PETERSONS RANCH, WA US","14",",6","13",",6","1",",6","","","","","","","","","","","","","","","19290102",",,6","","","","","","","43.2",",,6,02,","","","210.5",",,,6","","","",""
"USC00456477","1929-02","46.05","-122.2","182.9","PETERSONS RANCH, WA US","","","","","","","","","0",",6","","","","","","","","","19290225",",,6","","","","","","","0",",T,6,25,","","","","","","","0",",T,,6","",""
"USC00456477","1929-03","46.05","-122.2","182.9","PETERSONS RANCH, WA US","19",",6","15",",6","3",",6","","","","","","","","","","","","","","","19290326",",,6","","","","","","","72.9",",,6,26,","","","314.6",",,,6","","","",""
"USC00456477","1929-05","46.05","-122.2","182.9","PETERSONS RANCH, WA US","9",",6","6",",6","0",",6","","","","","","","","","","","","","","","19290524",",,6","","","","","","","17.0",",,6,24,","","","70.6",",,,6","","","",""
"USC00456477","1929-06","46.05","-122.2","182.9","PETERSONS RANCH, WA US","13",",6","9",",6","1",",6","","","","","","","","","","","","","","","19290618",",,6","","","","","","","49.0",",,6,18,","","","146.3",",,,6","","","",""
"USC00456477","1930-03","46.05","-122.2","182.9","PETERSONS RANCH, WA US","4",",6","4",",6","2",",6","","","","","","","","","","","","","","","19300322",",,6","","","","","","","43.2",",,6,22,","","","88.9",",,,6","","","",""
"USC00456477","1931-07","46.05","-122.2","182.9","PETERSONS RANCH, WA US","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","19310731","+,,6","","","","","","","0.0",",,6,31,+","","","0.0",",,,6","","","",""
"USC00456477","1931-08","46.05","-122.2","182.9","PETERSONS RANCH, WA US","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","19310816",",,6","","","","","","","3.8",",,6,16,","","","6.1",",,,6","","","",""
"USC00456477","1931-09","46.05","-122.2","182.9","PETERSONS RANCH, WA US","10",",6","8",",6","1",",6","","","","","","","","","","","","","","","19310918",",,6","","","","","","","34.3",",,6,18,","","","117.7",",,,6","","","",""
"USC00456477","1931-10","46.05","-122.2","182.9","PETERSONS RANCH, WA US","11",",6","10",",6","7",",6","","","","","","","","","","","","","","","19311022",",,6","","","","","","","69.1",",,6,22,","","","368.2",",,,6","","","",""
"USC00456477","1931-11","46.05","-122.2","182.9","PETERSONS RANCH, WA US","17",",6","15",",6","8",",6","","","","","","","","","","","","","","","19311119",",,6","","","","","","","79.2",",,6,19,","","","477.4",",,,6","","","",""
"USC00456477","1931-12","46.05","-122.2","182.9","PETERSONS RANCH, WA US","24",",6","22",",6","7",",6","","","","","","","","","","","","","","","19311217",",,6","","","","","","","78.0",",,6,17,","","","492.9",",,,6","","","",""
"USC00456477","1932-01","46.05","-122.2","182.9","PETERSONS RANCH, WA US","20",",6","16",",6","5",",6","","","","","","","","","","","","","","","19320118",",,6","","","","","","","114.3",",,6,18,","","","396.2",",,,6","","","",""
"USC00456477","1932-02","46.05","-122.2","182.9","PETERSONS RANCH, WA US","15",",6","15",",6","9",",6","","","","","","","","","","","","","","","19320226",",,6","","","","","","","120.9",",,6,26,","","","468.5",",,,6","","","",""
"USC00456477","1932-03","46.05","-122.2","182.9","PETERSONS RANCH, WA US","21",",6","20",",6","9",",6","","","","","","","","","","","","","","","19320305",",,6","","","","","","","107.7",",,6,05,","","","640.0",",,,6","","","",""
"USC00456477","1932-04","46.05","-122.2","182.9","PETERSONS RANCH, WA US","16",",6","16",",6","4",",6","","","","","","","","","","","","","","","19320417",",,6","","","","","","","46.5",",,6,17,","","","299.0",",,,6","","","",""
"USC00456477","1932-05","46.05","-122.2","182.9","PETERSONS RANCH, WA US","10",",6","8",",6","1",",6","","","","","","","","","","","","","","","19320520",",,6","","","","","","","25.4",",,6,20,","","","70.1",",,,6","","","",""
"USC00456477","1932-06","46.05","-122.2","182.9","PETERSONS RANCH, WA US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","19320602",",,6","","","","","","","6.4",",,6,02,","","","16.6",",,,6","","","",""
"USC00456477","1932-07","46.05","-122.2","182.9","PETERSONS RANCH, WA US","6",",6","6",",6","1",",6","","","","","","","","","","","","","","","19320703",",,6","","","","","","","52.8",",,6,03,","","","100.4",",,,6","","","",""
"USC00456477","1932-08","46.05","-122.2","182.9","PETERSONS RANCH, WA US","8",",6","6",",6","0",",6","","","","","","","","","","","","","","","19320809",",,6","","","","","","","15.7",",,6,09,","","","49.5",",,,6","","","",""
"USC00456477","1932-09","46.05","-122.2","182.9","PETERSONS RANCH, WA US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","19320920",",,6","","","","","","","14.0",",,6,20,","","","29.5",",,,6","","","",""
"USC00456477","1932-10","46.05","-122.2","182.9","PETERSONS RANCH, WA US","15",",6","12",",6","6",",6","","","","","","","","","","","","","","","19321022",",,6","","","","","","","38.1",",,6,22,","","","262.7",",,,6","","","",""
"USC00456477","1932-11","46.05","-122.2","182.9","PETERSONS RANCH, WA US","20",",6","20",",6","12",",6","","","","","","","","","","","","","","","19321113",",,6","","","","","","","94.5",",,6,13,","","","681.9",",,,6","","","",""
"USC00456477","1932-12","46.05","-122.2","182.9","PETERSONS RANCH, WA US","17",",6","16",",6","10",",6","","","","","","","","","","","","","","","19321219",",,6","","","","","","","92.7",",,6,19,","","","583.7",",,,6","","","",""
"USC00456477","1933-01","46.05","-122.2","182.9","PETERSONS RANCH, WA US","23",",6","22",",6","10",",6","","","","","","","","","","","","","","","19330104",",,6","","","","","","","73.7",",,6,04,","","","621.7",",,,6","","","",""
"USC00456477","1933-02","46.05","-122.2","182.9","PETERSONS RANCH, WA US","15",",6","15",",6","5",",6","","","","","","","","","","","","","","","19330222",",,6","","","","","","","71.6",",,6,22,","","","361.1",",,,6","","","",""
"USC00456477","1933-03","46.05","-122.2","182.9","PETERSONS RANCH, WA US","21",",6","20",",6","10",",6","","","","","","","","","","","","","","","19330330",",,6","","","","","","","58.9",",,6,30,","","","533.1",",,,6","","","",""
"USC00456477","1933-04","46.05","-122.2","182.9","PETERSONS RANCH, WA US","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","19330416",",,6","","","","","","","14.2",",,6,16,","","","53.6",",,,6","","","",""
"USC00456477","1933-05","46.05","-122.2","182.9","PETERSONS RANCH, WA US","20",",6","18",",6","2",",6","","","0",",6","","","","","","","","","19330531","+,,6","19330508",",,6","","","","","0",",,6,31,+","29.5",",,6,08,","","","280.9",",,,6","0",",,,6","",""
