"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415721","1941-08","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00415721","1941-09","26.565","-98.1236","67.1","MCCOOK, TX US","","","309.8",",0","6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","1","","19410930","+,,0","19410930","+,,0","19410930","+,,0","2","","19410910",",,0","19410904","+,,0","20.6",",0,30,+","0",",,0,30,+","0",",,0,30,+","31.0",",,0,10,","37.2",",0,04,+","","","","","0.0",",0","","","","","58.9",",,,0","0",",,,0","28.66",",0","34.74",",,,0","22.58",",,,0","",""
"USC00415721","1941-10","26.565","-98.1236","67.1","MCCOOK, TX US","","","263.0",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","1","","19411031",",,0","19411031","+,,0","19411031","+,,0","2","","19411023",",,0","19411007",",,0","15.0",",0,31,","0",",,0,31,+","0",",,0,31,+","7.6",",,0,23,","35.6",",0,07,","","","","","0.0",",0","","","","","34.5",",,,0","0",",,,0","26.82",",0","32.77",",,,0","20.86",",,,0","",""
"USC00415721","1941-11","26.565","-98.1236","67.1","MCCOOK, TX US","","","48.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","1","","19411109",",,0","19411130","+,,0","19411130","+,,0","","","19411121",",,0","19411103",",,0","5.0",",0,09,","0",",,0,30,+","0",",,0,30,+","3.3",",,0,21,","32.2",",0,03,","","","","","41.6",",0","","","","","3.8",",,,0","0",",,,0","18.58",",0","25.32",",,,0","11.84",",,,0","",""
"USC00415721","1941-12","26.565","-98.1236","67.1","MCCOOK, TX US","","","18.6",",0","12",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","3","","19411226",",,0","19411231","+,,0","19411231","+,,0","","","19411211",",,0","19411204",",,0","3.3",",0,26,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,11,","28.9",",0,04,","","","","","85.4",",0","","","","","52.4",",,,0","0",",,,0","16.18",",0","21.52",",,,0","10.84",",,,0","",""
"USC00415721","1942-01","26.565","-98.1236","67.1","MCCOOK, TX US","15.6","0","15.6",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","18",",0","0",",0","","","19420111","+,,0","19420131","+,,0","19420131","+,,0","1","","19420114",",,0","19420126",",,0","-1.1",",0,11,+","0",",,0,31,+","0",",,0,31,+","16.8",",,0,14,","29.4",",0,26,","","","","","161.5",",0","","","","","41.2",",,,0","0",",,,0","13.63",",0","20.17",",,,0","7.08",",,,0","",""
"USC00415721","1942-02","26.565","-98.1236","67.1","MCCOOK, TX US","39.3","0","23.7",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","","","19420219",",,0","19420228","+,,0","19420228","+,,0","1","","19420214",",,0","19420223",",,0","1.1",",0,19,","0",",,0,28,+","0",",,0,28,+","19.3",",,0,14,","28.9",",0,23,","","","","","104.9",",0","","","","","33.6",",,,0","0",",,,0","15.43",",0","21.38",",,,0","9.49",",,,0","",""
"USC00415721","1942-03","26.565","-98.1236","67.1","MCCOOK, TX US","121.3","0","82.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","","","19420309","+,,0","19420331","+,,0","19420331","+,,0","1","","19420301",",,0","19420325",",,0","2.8",",0,09,+","0",",,0,31,+","0",",,0,31,+","1.5",",,0,01,","35.6",",0,25,","","","","","35.7",",0","","","","","2.8",",,,0","0",",,,0","19.83",",0","27.01",",,,0","12.64",",,,0","",""
"USC00415721","1942-04","26.565","-98.1236","67.1","MCCOOK, TX US","304.7","0","183.4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","1","","19420402",",,0","19420430","+,,0","19420430","+,,0","3","","19420421",",,0","19420425","+,,0","7.8",",0,02,","0",",,0,30,+","0",",,0,30,+","2.5",",,0,21,","36.7",",0,25,+","","","","","0.9",",0","","","","","3.5",",,,0","0",",,,0","24.42",",0","30.71",",,,0","18.12",",,,0","",""
"USC00415721","1942-05","26.565","-98.1236","67.1","MCCOOK, TX US","575.3","0","270.6",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","19420516",",,0","19420531","+,,0","19420531","+,,0","3","","19420507",",,0","19420514",",,0","15.6",",0,16,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,07,","37.2",",0,14,","","","","","0.0",",0","","","","","42.9",",,,0","0",",,,0","27.06",",0","32.88",",,,0","21.25",",,,0","",""
