"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014815","1998-03","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","","","","","6.1",",M","","","","","","","","","0",",M","20",",M","4",",M","4",",M","0",",M","","","","","19980311",",,M","","","","","","","19980330",",,M","-14.4",",M,11,","","","","","26.1",",M,30,","","","464.6",",M","","","3.54",",M","7.56",",,,M","-0.47",",,,M","","","","","","","",""
"USW00014815","1998-04","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","4.1",",W","","","0.0",",W","14",",W","8",",W","0",",W","","","0",",W","4",",W","0",",W","3",",W","0",",W","","","","","19980411",",,W","","","","","19980426",",,W","19980424",",,W","-2.2",",W,11,","","","24.1",",,W,26,","22.8",",W,24,","","","257.7",",W","96.8",",,,W","9.74",",W","15.45",",,,W","4.03",",,,W","250",",W","240",",W","16.1",",W","20.6",",W"
"USW00014815","1998-05","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","3.6",",W","","","42.8",",W","10",",W","4",",W","1",",W","","","0",",W","0",",W","0",",W","24",",W","0",",W","","","","","19980510",",,W","","","","","19980501",",,W","19980518","+,,W","7.2",",W,10,","","","32.8",",,W,01,","31.7",",W,18,+","","","40.5",",W","51.7",",,,W","18.41",",W","24.78",",,,W","12.04",",,,W","290",",W","330",",W","16.5",",W","21.5",",W"
"USW00014815","1998-06","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","3.7",",W","","","102.6","1,W","13",",W","4",",W","1",",W","","","0","1,W","0","1,W","0","1,W","23","1,W","3","1,W","","","","","19980606",",1,W","","","","","19980626",",,W","19980625",",1,W","2.8","1,W,06,","","","71.1",",,W,26,","36.1","1,W,25,","","","48.1","1,W","116.9",",,,W","20.21","1,W","26.50","1,,,W","13.93","1,,,W","270",",W","250",",W","13.9",",W","17.9",",W"
"USW00014815","1998-07","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","3.1",",W","","","121.8",",W","8",",W","3",",W","0",",W","","","0",",W","0",",W","0",",W","31",",W","4",",W","","","","","19980711",",,W","","","","","19980703",",,W","19980721",",,W","11.7",",W,11,","","","12.2",",,W,03,","34.4",",W,21,","0.0","W","0.0",",W","26.2",",,,W","22.26",",W","28.25",",,,W","16.27",",,,W","270",",W","300",",W","19.7",",W","21.5",",W"
"USW00014815","1998-08","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","2.9",",W","","","135.1",",W","15",",W","4",",W","0",",W","","","0",",W","0",",W","0",",W","31",",W","2",",W","","","","","19980831","+,,W","","","","","19980806",",,W","19980824",",,W","10.6",",W,31,+","","","17.5",",,W,06,","33.9",",W,24,","0.8","W","0.8",",W","49.0",",,,W","22.66",",W","28.01",",,,W","17.32",",,,W","230",",W","230",",W","11.6",",W","14.3",",W"
"USW00014815","1998-09","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","3.2",",W","","","52.4",",W","8",",W","5",",W","0",",W","","","0",",W","0",",W","0",",W","26",",W","1",",W","","","","","19980923",",,W","","","","","19980920",",,W","19980926",",,W","3.9",",W,23,","","","16.5",",,W,20,","32.2",",W,26,","36.3","W","35.5",",W","49.6",",,,W","18.90",",W","25.60",",,,W","12.19",",,,W","210",",W","230",",W","11.6",",W","16.5",",W"
"USW00014815","1998-10","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","3.4",",W","","","3.1",",W","11",",W","8",",W","1",",W","","","0",",W","2",",W","0",",W","5",",W","0",",W","","","","","19981022",",,W","","","","","19981006",",,W","19981006",",,W","-2.2",",W,22,","","","31.8",",,W,06,","26.1",",W,06,","255.0","W","218.7",",W","81.6",",,,W","11.38",",W","16.62",",,,W","6.14",",,,W","260",",W","250",",W","12.5",",W","15.2",",W"
"USW00014815","1998-11","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","4.8",",W","","","0.0",",W","8",",W","2",",W","0",",W","","","0",",W","13",",W","0",",W","0",",W","0",",W","","","","","19981127",",,W","","","","","19981110",",,W","19981129","+,,W","-4.4",",W,27,","","","22.4",",,W,10,","18.3",",W,29,+","630.4","W","375.4",",W","33.0",",,,W","5.82",",W","10.14",",,,W","1.50",",,,W","240",",W","240",",W","21.9",",W","27.7",",W"
"USW00014815","1998-12","42.31192","-85.24147","282.5","BATTLE CREEK KELLOGG AIRPORT, MI US","4.4",",W","","","0.0",",W","6",",W","1",",W","1",",W","","","0",",W","24",",W","8",",W","0",",W","0",",W","","","","","19981223","+,,W","","","","","19981206",",,W","19981203",",,W","-15.0",",W,23,+","","","30.7",",,W,06,","18.9",",W,03,","1169.4","W","539.0",",W","33.6",",,,W","0.95",",W","5.43",",,,W","-3.54",",,,W","170","1,W","280",",W","13.4","1,W","16.1",",W"
