"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MIKZ0006","1998-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","9",",N","2",",N","19981231","+,,N","19981223",",,N","76",",,N,31,+","76",",,N,23,","158",",,,N"
"US1MIKZ0006","1999-01","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","26",",N","10",",N","19990111","+,,N","19990102",",,N","635",",,N,11,+","267",",,N,02,","1008",",,,N"
"US1MIKZ0006","1999-02","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","4",",N","2",",N","19990224","+,,N","19990224","+,,N","76",",,N,24,+","79",",,N,24,+","204",",,,N"
"US1MIKZ0006","1999-03","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","11","5,N","3","5,N","19990309",",5,N","19990305",",5,N","203","5,,N,09,","127","5,,N,05,","276","5,,,N"
"US1MIKZ0006","1999-11","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","0","1,N","0","1,N","19991103",",1,N","19991129","+,1,N","0","1,T,N,03,","0","1,T,N,29,+","0","1,T,,N"
"US1MIKZ0006","1999-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","16",",N","5",",N","19991228",",,N","19991228",",,N","152",",,N,28,","109",",,N,28,","380",",,,N"
"US1MIKZ0006","2000-01","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","24",",N","8",",N","20000131","+,,N","20000130","+,,N","178",",,N,31,+","74",",,N,30,+","486",",,,N"
"US1MIKZ0006","2000-02","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","21",",N","2",",N","20000204","+,,N","20000218",",,N","229",",,N,04,+","147",",,N,18,","217",",,,N"
"US1MIKZ0006","2000-03","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","0",",N","0",",N","20000309",",,N","20000313",",,N","0",",T,N,09,","5",",,N,13,","8",",,,N"
"US1MIKZ0006","2000-10","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","0","5,N","0","5,N","20001031","+,5,N","20001007",",5,N","0","5,,N,31,+","3","5,,N,07,","3","5,,,N"
"US1MIKZ0006","2000-11","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","11",",N","6",",N","20001121",",,N","20001120",",,N","330",",,N,21,","211",",,N,20,","589",",,,N"
"US1MIKZ0006","2000-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","27",",N","14",",N","20001229","+,,N","20001211",",,N","457",",,N,29,+","333",",,N,11,","1184",",,,N"
"US1MIKZ0006","2001-01","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","31",",N","1",",N","20010104","+,,N","20010126",",,N","381",",,N,04,+","36",",,N,26,","96",",,,N"
"US1MIKZ0006","2001-02","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","19",",N","7",",N","20010207","+,,N","20010217",",,N","178",",,N,07,+","51",",,N,17,","292",",,,N"
"US1MIKZ0006","2001-03","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","7",",N","4",",N","20010305",",,N","20010316",",,N","76",",,N,05,","79",",,N,16,","321",",,,N"
"US1MIKZ0006","2001-11","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","0",",N","0",",N","20011130","+,,N","20011120",",,N","0",",,N,30,+","0",",T,N,20,","0",",T,,N"
"US1MIKZ0006","2001-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","10",",N","8",",N","20011230",",,N","20011229",",,N","457",",,N,30,","229",",,N,29,","917",",,,N"
"US1MIKZ0006","2002-01","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","21",",N","3",",N","20020101",",,N","20020131",",,N","279",",,N,01,","142",",,N,31,","457",",,,N"
"US1MIKZ0006","2002-02","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","18",",N","7",",N","20020227",",,N","20020226",",,N","254",",,N,27,","142",",,N,26,","517",",,,N"
"US1MIKZ0006","2002-03","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","12",",N","7",",N","20020304",",,N","20020304",",,N","279",",,N,04,","178",",,N,04,","600",",,,N"
"US1MIKZ0006","2002-11","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","2",",N","2",",N","20021130",",,N","20021130",",,N","152",",,N,30,","163",",,N,30,","210",",,,N"
"US1MIKZ0006","2002-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","27",",N","3",",N","20021225",",,N","20021225",",,N","254",",,N,25,","170",",,N,25,","402",",,,N"
"US1MIKZ0006","2003-01","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","26",",N","8",",N","20030119",",,N","20030119","+,,N","203",",,N,19,","74",",,N,19,+","552",",,,N"
"US1MIKZ0006","2003-02","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","28",",N","6",",N","20030211","+,,N","20030204",",,N","203",",,N,11,+","79",",,N,04,","343",",,,N"
"US1MIKZ0006","2003-03","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","14",",N","2",",N","20030305",",,N","20030305",",,N","178",",,N,05,","112",",,N,05,","177",",,,N"
"US1MIKZ0006","2003-12","42.283","-85.615","271.9","WESTERN MICHIGAN UNIVERSITY, MI US","13",",N","4",",N","20031219","+,,N","20031217",",,N","76",",,N,19,+","74",",,N,17,","224",",,,N"
