"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010022","1993-03","54.8","8.95","17.0","LECK, GM","","","10","5,S","2","5,S","0","5,S","","","","","","","","","","","","","19930323",",5,S","","","","","6.6","5,,S,23,","","","","","","","17.9","5,,,S","","","","","",""
"GMM00010022","1993-04","54.8","8.95","17.0","LECK, GM","","","7","4,S","3","4,S","0","4,S","","","","","","","","","","","","","19930419",",4,S","","","","","5.6","4,,S,19,","","","","","","","18.3","4,,,S","","","","","",""
"GMM00010022","1993-06","54.8","8.95","17.0","LECK, GM","","","13","2,S","5","2,S","0","2,S","","","","","","","","","","","","","19930624",",2,S","","","","","9.1","2,,S,24,","","","","","","","38.9","2,,,S","","","","","",""
"GMM00010022","1993-07","54.8","8.95","17.0","LECK, GM","","","22",",S","10",",S","0",",S","","","","","","","","","","","","","19930725",",,S","","","","","10.9",",,S,25,","","","","","","","80.3",",,,S","","","","","",""
"GMM00010022","1993-08","54.8","8.95","17.0","LECK, GM","","","20","3,S","12","3,S","0","3,S","","","","","","","","","","","","","19930810",",3,S","","","","","17.8","3,,S,10,","","","","","","","98.8","3,,,S","","","","","",""
"GMM00010022","1993-09","54.8","8.95","17.0","LECK, GM","","","17",",S","6",",S","1",",S","","","","","","","","","","","","","19930926",",,S","","","","","25.4",",,S,26,","","","","","","","68.8",",,,S","","","","","",""
"GMM00010022","1993-10","54.8","8.95","17.0","LECK, GM","","","14","1,S","10","1,S","0","1,S","","","","","","","","","","","","","19931009",",1,S","","","","","17.5","1,,S,09,","","","","","","","72.3","1,,,S","","","","","",""
"GMM00010022","1993-11","54.8","8.95","17.0","LECK, GM","","","8","4,S","6","4,S","0","4,S","","","","","","","","","","","","","19931114",",4,S","","","","","14.0","4,,S,14,","","","","","","","39.4","4,,,S","","","","","",""
"GMM00010022","1993-12","54.8","8.95","17.0","LECK, GM","","","26","2,S","15","2,S","0","2,S","","","","","","","","","","","","","19931209",",2,S","","","","","12.4","2,,S,09,","","","","","","","108.1","2,,,S","","","","","",""
"GMM00010022","1994-01","54.8","8.95","17.0","LECK, GM","","","24","3,S","10","3,S","0","3,S","","","","","","","","","","","","","19940113",",3,S","","","","","14.2","3,,S,13,","","","","","","","88.0","3,,,S","","","","","",""
"GMM00010022","1994-02","54.8","8.95","17.0","LECK, GM","","","13","1,S","5","1,S","0","1,S","","","","","6","3,S","0","3,S","0","3,S","","","19940228",",1,S","19940202",",3,S","","","17.3","1,,S,28,","5.5","3,S,02,","","","","","57.4","1,,,S","","","1.54","3,,,S","",""
"GMM00010022","1994-03","54.8","8.95","17.0","LECK, GM","","","19","2,S","12","2,S","0","2,S","","","","","0","3,S","0","3,S","0","3,S","","","19940302",",2,S","19940330",",3,S","","","8.9","2,,S,02,","13.2","3,S,30,","","","","","77.5","2,,,S","","","6.86","3,,,S","",""
"GMM00010022","1994-04","54.8","8.95","17.0","LECK, GM","","","10","1,S","5","1,S","0","1,S","","","","","0","4,S","1","4,S","0","4,S","","","19940405",",1,S","19940423",",4,S","","","9.9","1,,S,05,","22.1","4,S,23,","","","","","31.6","1,,,S","","","12.13","4,,,S","",""
"GMM00010022","1994-05","54.8","8.95","17.0","LECK, GM","","","12",",S","5",",S","0",",S","0","5,S","0","5,S","0","2,S","0","2,S","0","2,S","19940503",",5,S","19940518",",,S","19940511",",2,S","0.8","5,S,03,","19.1",",,S,18,","20.5","2,S,11,","","","","","41.9",",,,S","10.84","6,S","15.88","2,,,S","5.80","5,,,S"
"GMM00010022","1994-06","54.8","8.95","17.0","LECK, GM","","","18",",S","11",",S","0",",S","","","","","0","1,S","4","1,S","0","1,S","","","19940622",",,S","19940625",",1,S","","","18.5",",,S,22,","27.3","1,S,25,","","","","","88.4",",,,S","","","17.58","1,,,S","",""
"GMM00010022","1994-07","54.8","8.95","17.0","LECK, GM","","","5","1,S","3","1,S","0","1,S","","","","","0","1,S","26","1,S","2","1,S","","","19940706",",1,S","19940728",",1,S","","","23.1","1,,S,06,","32.7","1,S,28,","","","","","47.0","1,,,S","","","25.74","1,,,S","",""
"GMM00010022","1994-08","54.8","8.95","17.0","LECK, GM","","","15",",S","12",",S","0",",S","","","","","0","1,S","14","1,S","0","1,S","","","19940812",",,S","19940804",",1,S","","","18.5",",,S,12,","31.7","1,S,04,","","","","","103.7",",,,S","","","21.40","1,,,S","",""
"GMM00010022","1994-09","54.8","8.95","17.0","LECK, GM","","","19",",S","12",",S","1",",S","0","4,S","0","4,S","0","4,S","0","4,S","0","4,S","19940923",",4,S","19940910",",,S","19940924",",4,S","2.8","4,S,23,","44.7",",,S,10,","20.9","4,S,24,","","","","","163.0",",,,S","12.69","7,S","16.38","4,,,S","8.99","4,,,S"
"GMM00010022","1994-10","54.8","8.95","17.0","LECK, GM","","","13",",S","10",",S","0",",S","","","","","0","4,S","0","4,S","0","4,S","","","19941005",",,S","19941010",",4,S","","","18.5",",,S,05,","16.1","4,S,10,","","","","","82.2",",,,S","","","11.47","4,,,S","",""
"GMM00010022","1994-11","54.8","8.95","17.0","LECK, GM","","","16",",S","7",",S","0",",S","","","","","0","4,S","0","4,S","0","4,S","","","19941101",",,S","19941114",",4,S","","","11.4",",,S,01,","12.0","4,S,14,","","","","","58.9",",,,S","","","9.73","4,,,S","",""
"GMM00010022","1994-12","54.8","8.95","17.0","LECK, GM","","","21",",S","13",",S","0",",S","","","","","","","","","","","","","19941212",",,S","","","","","16.5",",,S,12,","","","","","","","104.4",",,,S","","","","","",""
"GMM00010022","1995-01","54.8","8.95","17.0","LECK, GM","","","20","2,S","14","2,S","1","2,S","","","","","4","5,S","0","5,S","0","5,S","","","19950123",",2,S","19950120",",5,S","","","25.9","2,,S,23,","6.2","5,S,20,","","","","","135.3","2,,,S","","","3.20","5,,,S","",""
"GMM00010022","1995-02","54.8","8.95","17.0","LECK, GM","","","24",",S","10",",S","0",",S","","","","","0","4,S","0","4,S","0","4,S","","","19950201",",,S","19950213",",4,S","","","10.9",",,S,01,","9.4","4,S,13,","","","","","86.5",",,,S","","","6.53","4,,,S","",""
"GMM00010022","1995-03","54.8","8.95","17.0","LECK, GM","","","20",",S","9",",S","0",",S","","","","","0","1,S","0","1,S","0","1,S","","","19950318",",,S","19950312",",1,S","","","8.9",",,S,18,","10.1","1,S,12,","","","","","54.1",",,,S","","","6.64","1,,,S","",""
