"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087345","2020-07","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","1,S","5","1,S","20200709","+,1,S","-0.8","1,S,09,+","2.53","1,,,S"
"ARM00087345","2020-08","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","4,S","2","4,S","20200820",",4,S","-3.5","4,S,20,","6.23","4,,,S"
"ARM00087345","2020-09","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0",",S","0",",S","20200902",",,S","4.0",",S,02,","9.75",",,,S"
"ARM00087345","2020-10","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","3,S","0","3,S","20201006","+,3,S","5.5","3,S,06,+","12.19","3,,,S"
"ARM00087345","2020-11","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","2,S","0","2,S","20201101",",2,S","11.4","2,S,01,","17.15","2,,,S"
"ARM00087345","2020-12","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","2,S","0","2,S","20201205",",2,S","11.0","2,S,05,","17.44","2,,,S"
"ARM00087345","2021-01","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","4,S","0","4,S","20210118","+,4,S","12.6","4,S,18,+","18.18","4,,,S"
"ARM00087345","2021-02","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","5,S","0","5,S","20210224",",5,S","14.0","5,S,24,","17.53","5,,,S"
"ARM00087345","2021-03","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","2,S","0","2,S","20210328",",2,S","9.0","2,S,28,","16.74","2,,,S"
"ARM00087345","2021-04","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","3,S","0","3,S","20210412",",3,S","8.0","3,S,12,","14.35","3,,,S"
"ARM00087345","2021-05","-31.4","-64.183","426.0","CORDOBA OBSERVATORIO, AR","0","2,S","0","2,S","20210524",",2,S","3.0","2,S,24,","7.60","2,,,S"
