"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00157510","1950-06","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","19500630","+,,0","19500630","+,,0","6","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","",""
"USC00157510","1950-07","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","130.3",",0","17",",0","13",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","19500701",",,0","19500731","+,,0","19500731","+,,0","5","","19500726",",,0","19500702",",,0","10.6",",0,01,","0",",,0,31,+","0",",,0,31,+","31.0",",,0,26,","31.1",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","","","","","","","152.7",",,,0","0",",,,0","22.54",",0","27.95",",,,0","17.12",",,,0"
"USC00157510","1950-08","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","109.6",",0","17",",0","12",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","19500822",",,0","19500831","+,,0","19500831","+,,0","4","","19500829",",,0","19500801",",,0","8.3",",0,22,","0",",,0,31,+","0",",,0,31,+","31.0",",,0,29,","31.7",",0,01,","1.9","0","","","1.9",",0","","","","","","","","","","","","","","","","","158.6",",,,0","0",",,,0","21.80",",0","27.84",",,,0","15.77",",,,0"
"USC00157510","1950-09","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","62.8","2,0","12",",0","9",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","28",",0","0",",0","1","","19500926",",2,0","19500930","+,,0","19500930","+,,0","1","","19500902",",,0","19500919","+,,0","4.4","2,0,26,","0",",,0,30,+","0",",,0,30,+","50.3",",,0,02,","28.9",",0,19,+","17.3","0","","","15.4",",0","","","","","","","","","","","","","","","","","143.8",",,,0","0",",,,0","19.93","2,0","25.18",",,,0","14.69","2,,,0"
"USC00157510","1950-10","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","15.0",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","19501026",",,0","19501031","+,,0","19501031","+,,0","1","","19501022",",,0","19501016",",,0","1.1",",0,26,","0",",,0,31,+","0",",,0,31,+","34.3",",,0,22,","28.9",",0,16,","84.0","0","","","66.7",",0","","","","","","","","","","","","","","","","","70.6",",,,0","0",",,,0","16.67",",0","23.79",",,,0","9.54",",,,0"
"USC00157510","1950-11","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","0.0",",0","14",",0","10",",0","2",",0","7",",0","2",",0","1",",0","18",",0","4",",0","4",",0","0",",0","1","","19501125",",,0","19501129","+,,0","19501125","+,,0","","","19501119","+,,0","19501101",",,0","-18.9",",0,25,","127",",,0,29,+","64",",,0,25,+","26.2",",,0,19,+","26.1",",0,01,","482.9","0","","","398.9",",0","","","","","","","","","","","","","","","","","176.3",",,,0","128",",,,0","5.04",",0","11.11",",,,0","-1.04",",,,0"
"USC00157510","1950-12","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","","","0.0",",0","10","2,0","4","2,0","2","2,0","3","3,0","1","1,0","0",",0","24",",0","7",",0","0",",0","0",",0","2","","19501228","+,,0","19501208","+,3,0","19501207",",1,0","","","19501207",",2,0","19501202",",,0","-11.7",",0,28,+","76","3,,0,08,+","64","1,,0,07,","63.5","2,,0,07,","18.9",",0,02,","1032.4","0","","","549.5",",0","","","","","","","","","","","","","","","","","104.9","2,,,0","64","1,,,0","0.61",",0","5.77",",,,0","-4.55",",,,0"
"USC00157510","1951-01","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0","1,0","18",",0","13",",0","3",",0","0","2,0","2",",0","0","1,0","21","1,0","3",",0","0",",0","0",",0","","","19510109",",1,0","19510131","+,2,0","19510107",",,0","","","19510127",",,0","19510120",",,0","-13.9","1,0,09,","0","2,,0,31,+","51",",,0,07,","50.8",",,0,27,","20.0",",0,20,","1456.8","0","","","424.4",",0","","","","","","","","","","","","","","","","","195.6",",,,0","99",",,,0","4.15","1,0","9.97",",,,0","-1.67","1,,,0"
"USC00157510","1951-02","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.0","0","0.0",",0","9",",0","8",",0","1",",0","5",",0","0","1,0","2",",0","17",",0","4",",0","2",",0","0",",0","","","19510202",",,0","19510203","+,,0","19510208",",1,0","","","19510201",",,0","19510220",",,0","-25.0",",0,02,","102",",,0,03,+","0","1,T,0,08,","40.6",",,0,01,","21.7",",0,20,","1842.6","0","","","385.8",",0","","","","","","","","","","","","","","","","","98.8",",,,0","0","1,T,,0","4.55",",0","11.13",",,,0","-2.03",",,,0"
"USC00157510","1951-03","37.1167","-84.6167","310.9","SOMERSET 2 N, KY US","0.3","0","0.3",",0","24",",0","16",",0","0",",0","1","1,0","1",",0","0",",0","15",",0","1",",0","4",",0","0",",0","","","19510322",",,0","19510314",",1,0","19510314",",,0","","","19510317",",,0","19510329","+,,0","-7.2",",0,22,","25","1,,0,14,","38",",,0,14,","19.6",",,0,17,","23.9",",0,29,+","2169.3","0","","","326.7",",0","","","","","","","","","","","","","","","","","165.0",",,,0","73",",,,0","7.80",",0","13.96",",,,0","1.64",",,,0"
