"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094173","1998-09","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.4",",W","","","0.0",",W","11",",W","5",",W","0",",W","","","","","0",",W","12",",W","0",",W","11",",W","0",",W","","","19980924","+,,W","","","","","","","19980912",",,W","19980905",",,W","-3.3",",W,24,+","","","","","14.5",",,W,12,","26.1",",W,05,","","","259.1",",W","33.2",",,,W","","","9.70",",W","17.43",",,,W","1.96",",,,W","","","280",",W","280",",W","7.6",",W","13.4",",W"
"USW00094173","1998-10","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.3",",W","","","0.0",",W","8",",W","1",",W","0",",W","","","","","0",",W","31",",W","0",",W","0",",W","0",",W","","","19981020",",,W","","","","","","","19981030",",,W","19981013","+,,W","-8.9",",W,20,","","","","","2.8",",,W,30,","15.6",",W,13,+","","","507.3",",W","9.3",",,,W","","","1.97",",W","8.29",",,,W","-4.36",",,,W","","","280",",W","300",",W","8.0",",W","13.0",",W"
"USW00094173","1998-11","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.6",",W","","","0.0",",W","13",",W","2",",W","0",",W","","","","","1",",W","30",",W","17",",W","0",",W","0",",W","","","19981109",",,W","","","","","","","19981128",",,W","19981127","+,,W","-18.3",",W,09,","","","","","10.7",",,W,28,","6.1",",W,27,+","","","674.3",",W","29.6",",,,W","","","-4.15",",W","-0.11",",,,W","-8.18",",,,W","","","270",",W","310",",W","7.6",",W","13.4",",W"
"USW00094173","1998-12","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.6","1,W","","","0.0","1,W","12","1,W","3","1,W","0","1,W","","","","","13","1,W","30","1,W","23","1,W","0","1,W","0","1,W","","","19981221",",1,W","","","","","","","19981227",",1,W","19981214",",1,W","-36.7","1,W,21,","","","","","4.3","1,,W,27,","3.3","1,W,14,","","","889.5","1,W","23.5","1,,,W","","","-11.32","1,W","-6.10","1,,,W","-16.53","1,,,W","","","260","1,W","250","1,W","9.8","1,W","16.1","1,W"
"USW00094173","1999-01","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.2",",W","0.0","W","0.0",",W","17",",W","6",",W","0",",W","","","","","10",",W","31",",W","30",",W","0",",W","0",",W","","","19990130","+,,W","","","","","","","19990116",",,W","19990111",",,W","-27.8",",W,30,+","","","","","8.4",",,W,16,","1.1",",W,11,","","","864.6",",W","33.8",",,,W","","","-9.56",",W","-4.60",",,,W","-14.52",",,,W","","","290",",W","280",",W","10.3",",W","14.3",",W"
"USW00094173","1999-02","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.7",",W","0.0","W","0.0",",W","18",",W","4",",W","0",",W","","","","","11",",W","28",",W","25",",W","0",",W","0",",W","","","19990211",",,W","","","","","","","19990218","+,,W","19990225",",,W","-31.7",",W,11,","","","","","3.3",",,W,18,+","5.0",",W,25,","","","782.9",",W","25.2",",,,W","","","-9.63",",W","-3.32",",,,W","-15.94",",,,W","","","270",",W","270",",W","9.8",",W","17.4",",W"
"USW00094173","1999-03","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.3",",W","0.0","W","0.0",",W","9",",W","3",",W","0",",W","","","","","10",",W","31",",W","13",",W","0",",W","0",",W","","","19990306",",,W","","","","","","","19990327","+,,W","19990325","+,,W","-31.1",",W,06,","","","","","4.6",",,W,27,+","10.6",",W,25,+","","","778.7",",W","17.5",",,,W","","","-6.79",",W","1.81",",,,W","-15.38",",,,W","","","260",",W","260",",W","9.8",",W","18.3",",W"
"USW00094173","1999-04","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.5",",W","0.0","W","0.0",",W","9",",W","4",",W","0",",W","","","","","6",",W","30",",W","10",",W","0",",W","0",",W","","","19990411",",,W","","","","","","","19990420",",,W","19990425","+,,W","-22.8",",W,11,","","","","","8.1",",,W,20,","11.7",",W,25,+","","","643.9",",W","23.6",",,,W","","","-3.13",",W","3.79",",,,W","-10.06",",,,W","","","280",",W","60",",W","8.0",",W","14.8",",W"
"USW00094173","1999-05","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.3",",W","0.0","W","0.0",",W","14",",W","5",",W","0",",W","","","","","0",",W","28",",W","2",",W","0",",W","0",",W","","","19990506",",,W","","","","","","","19990530","+,,W","19990528",",,W","-13.3",",W,06,","","","","","10.4",",,W,30,+","17.8",",W,28,","","","510.5",",W","48.9",",,,W","","","1.86",",W","7.94",",,,W","-4.21",",,,W","","","290",",W","280",",W","8.0",",W","11.6",",W"
"USW00094173","1999-06","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.7",",W","0.0","W","0.0",",W","13",",W","6",",W","0",",W","","","","","0",",W","14",",W","0",",W","3",",W","0",",W","","","19990610","+,,W","","","","","","","19990603",",,W","19990620",",,W","-3.9",",W,10,+","","","","","9.7",",,W,03,","22.8",",W,20,","","","323.5",",W","46.4",",,,W","","","7.55",",W","14.43",",,,W","0.67",",,,W","","","290",",W","290",",W","9.8",",W","14.3",",W"
"USW00094173","1999-11","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.5",",W","","","0.0",",W","6",",W","3",",W","0",",W","","","","","2",",W","30",",W","8",",W","0",",W","0",",W","","","19991123",",,W","","","","","","","19991120",",,W","19991112","+,,W","-20.6",",W,23,","","","","","11.7",",,W,20,","13.9",",W,12,+","","","592.2",",W","23.0",",,,W","","","-1.41",",W","5.30",",,,W","-8.12",",,,W","","","270",",W","260",",W","8.9",",W","14.8",",W"
"USW00094173","1999-12","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.3","1,W","","","0.0","1,W","16","1,W","3","1,W","0","1,W","","","","","10","1,W","30","1,W","29","1,W","0","1,W","0","1,W","","","19991214",",1,W","","","","","","","19991213",",1,W","19991201",",1,W","-23.9","1,W,14,","","","","","9.4","1,,W,13,","0.6","1,W,01,","","","843.1","1,W","31.7","1,,,W","","","-9.77","1,W","-4.15","1,,,W","-15.39","1,,,W","","","280","1,W","280","1,W","8.0","1,W","11.6","1,W"
"USW00094173","2000-01","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.2",",W","0.0","W","0.0",",W","13",",W","3",",W","0",",W","","","","","11",",W","31",",W","27",",W","0",",W","0",",W","","","20000130",",,W","","","","","","","20000111",",,W","20000116","+,,W","-30.6",",W,30,","","","","","20.6",",,W,11,","2.8",",W,16,+","","","885.0",",W","40.0",",,,W","","","-10.22",",W","-4.64",",,,W","-15.79",",,,W","","","280",",W","290",",W","8.0",",W","14.3",",W"
"USW00094173","2000-02","44.544778","-110.422064","2372.0","YELLOWSTONE LAKE, WY US","1.0",",W","","","","","14",",W","4",",W","0",",W","","","","","","","","","","","","","","","","","","","","","","","","","20000211",",,W","","","","","","","","","9.7",",,W,11,","","","","","","","28.2",",,,W","","","","","","","","","","","260",",W","260",",W","8.0",",W","12.5",",W"
