"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TH000048569","1973-01","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","31",",I","2",",I","","","","","19730120",",,I","","","","","32.4",",I,20,","","","","","","","","","31.00",",,,I","",""
"TH000048569","1973-02","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","28",",I","16",",I","","","","","19730228",",,I","","","","","35.4",",I,28,","","","","","","","","","32.70",",,,I","",""
"TH000048569","1973-03","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","31",",I","30",",I","","","","","19730314",",,I","","","","","37.3",",I,14,","","","","","","","","","34.09",",,,I","",""
"TH000048569","1973-04","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","30",",I","29",",I","","","","","19730412",",,I","","","","","37.8",",I,12,","","","","","","","","","35.37",",,,I","",""
"TH000048569","1973-05","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","31",",I","26",",I","","","","","19730519","+,,I","","","","","35.5",",I,19,+","","","","","","","","","33.55",",,,I","",""
"TH000048569","1973-06","6.917","100.433","35.0","HAT YAI, TH","","","","","","","","","","","","","0",",I","30",",I","28",",I","","","","","19730610",",,I","","","","","35.3",",I,10,","","","","","","","","","33.32",",,,I","",""
"TH000048569","1973-07","6.917","100.433","35.0","HAT YAI, TH","","","10","2,S","5","2,S","1","2,S","","","","","0",",I","31",",I","22",",I","","","19730725",",2,S","19730719",",,I","","","30.0","2,,S,25,","35.0",",I,19,","","","","","93.5","2,,,S","","","32.80",",,,I","",""
"TH000048569","1973-08","6.917","100.433","35.0","HAT YAI, TH","","","13","3,S","5","3,S","2","3,S","","","","","0",",I","31",",I","21",",I","","","19730823",",3,S","19730820",",,I","","","80.0","3,,S,23,","34.8",",I,20,","","","","","137.4","3,,,S","","","32.61",",,,I","",""
"TH000048569","1973-09","6.917","100.433","35.0","HAT YAI, TH","","","15",",S","10",",S","0",",S","","","","","0",",I","30",",I","18",",I","","","19730911",",,S","19730903",",,I","","","9.9",",,S,11,","33.8",",I,03,","","","","","57.9",",,,S","","","32.13",",,,I","",""
"TH000048569","1973-10","6.917","100.433","35.0","HAT YAI, TH","","","18",",S","16",",S","2",",S","","","","","0",",I","31",",I","6",",I","","","19731031",",,S","19731009",",,I","","","30.0",",,S,31,","33.8",",I,09,","","","","","206.8",",,,S","","","30.52",",,,I","",""
