"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MGM00044313","1983-11","47.617","118.617","688.0","KHALKH GOL, MG","1","5,S","1","5,S","0","5,S","","","","","","","","","","","","","","","","","19831108",",5,S","","","","","","","6.1","5,,S,08,","","","6.1","5,,,S","","","","","",""
"MGM00044313","1983-12","47.617","118.617","688.0","KHALKH GOL, MG","0","3,S","0","3,S","0","3,S","","","","","","","","","","","","","","","","","19831231","+,3,S","","","","","","","0.0","3,,S,31,+","","","0.0","3,,,S","","","","","",""
"MGM00044313","1984-02","47.617","118.617","688.0","KHALKH GOL, MG","0","5,S","0","5,S","0","5,S","","","","","","","28","1,S","0","1,S","0","1,S","","","","","19840229","+,5,S","19840224",",1,S","","","","","0.0","5,,S,29,+","-8.8","1,S,24,","0.0","5,,,S","","","-15.96","1,,,S","",""
"MGM00044313","1984-03","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","27","3,S","0","3,S","0","3,S","","","","","","","19840330",",3,S","","","","","","","1.7","3,S,30,","","","","","-6.13","3,,,S","",""
"MGM00044313","1984-04","47.617","118.617","688.0","KHALKH GOL, MG","0","3,S","0","3,S","0","3,S","","","","","","","","","","","","","","","","","19840430","+,3,S","","","","","","","0.0","3,,S,30,+","","","0.0","3,,,S","","","","","",""
"MGM00044313","1984-05","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","1,S","14","1,S","0","1,S","","","","","","","19840530",",1,S","","","","","","","29.8","1,S,30,","","","","","20.82","1,,,S","",""
"MGM00044313","1984-06","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","5,S","17","5,S","0","5,S","","","","","","","19840601",",5,S","","","","","","","31.7","5,S,01,","","","","","22.90","5,,,S","",""
"MGM00044313","1984-11","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","19","5,S","0","5,S","0","5,S","","","","","","","19841102",",5,S","","","","","","","7.3","5,S,02,","","","","","-3.58","5,,,S","",""
"MGM00044313","1984-12","47.617","118.617","688.0","KHALKH GOL, MG","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","","","","","19841231","+,4,S","","","","","","","0.0","4,,S,31,+","","","0.0","4,,,S","","","","","",""
"MGM00044313","1985-01","47.617","118.617","688.0","KHALKH GOL, MG","1","4,S","0","4,S","0","4,S","","","","","","","","","","","","","","","","","19850126",",4,S","","","","","","","0.3","4,,S,26,","","","0.3","4,,,S","","","","","",""
"MGM00044313","1985-02","47.617","118.617","688.0","KHALKH GOL, MG","0","2,S","0","2,S","0","2,S","","","","","","","23","5,S","0","5,S","0","5,S","","","","","19850228","+,2,S","19850201",",5,S","","","","","0.0","2,,S,28,+","-4.1","5,S,01,","0.0","2,,,S","","","-12.97","5,,,S","",""
"MGM00044313","1985-03","47.617","118.617","688.0","KHALKH GOL, MG","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","","","","","19850331","+,4,S","","","","","","","0.0","4,,S,31,+","","","0.0","4,,,S","","","","","",""
"MGM00044313","1985-05","47.617","118.617","688.0","KHALKH GOL, MG","0","3,S","0","3,S","0","3,S","","","","","","","0","3,S","14","3,S","0","3,S","","","","","19850531","+,3,S","19850522",",3,S","","","","","0.0","3,,S,31,+","31.0","3,S,22,","0.0","3,,,S","","","19.71","3,,,S","",""
"MGM00044313","1985-06","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","3,S","17","3,S","0","3,S","","","","","","","19850604",",3,S","","","","","","","29.5","3,S,04,","","","","","22.59","3,,,S","",""
"MGM00044313","1985-10","47.617","118.617","688.0","KHALKH GOL, MG","1","3,S","1","3,S","0","3,S","","","","","","","0","3,S","3","3,S","0","3,S","","","","","19851015",",3,S","19851004",",3,S","","","","","3.6","3,,S,15,","25.6","3,S,04,","3.6","3,,,S","","","11.35","3,,,S","",""
"MGM00044313","1985-11","47.617","118.617","688.0","KHALKH GOL, MG","1","5,S","0","5,S","0","5,S","","","","","","","22","2,S","0","2,S","0","2,S","","","","","19851118",",5,S","19851102",",2,S","","","","","0.3","5,,S,18,","9.1","2,S,02,","0.3","5,,,S","","","-3.76","2,,,S","",""
"MGM00044313","1985-12","47.617","118.617","688.0","KHALKH GOL, MG","0","5,S","0","5,S","0","5,S","","","","","","","26","5,S","0","5,S","0","5,S","","","","","19851231","+,5,S","19851224",",5,S","","","","","0.0","5,,S,31,+","-3.7","5,S,24,","0.0","5,,,S","","","-11.57","5,,,S","",""
"MGM00044313","1986-01","47.617","118.617","688.0","KHALKH GOL, MG","1","1,S","0","1,S","0","1,S","","","","","","","","","","","","","","","","","19860119",",1,S","","","","","","","1.5","1,,S,19,","","","1.5","1,,,S","","","","","",""
"MGM00044313","1986-02","47.617","118.617","688.0","KHALKH GOL, MG","0","4,S","0","4,S","0","4,S","","","23","5,S","23","5,S","22","3,S","0","3,S","0","3,S","19860201",",5,S","","","19860228","+,4,S","19860221",",3,S","-32.0","5,S,01,","","","0.0","4,,S,28,+","2.8","3,S,21,","0.0","4,,,S","-15.63","8,S","-6.54","3,,,S","-24.71","5,,,S"
"MGM00044313","1986-03","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","8","4,S","0","4,S","0","4,S","","","","","","","19860304",",4,S","","","","","","","11.5","4,S,04,","","","","","3.04","4,,,S","",""
"MGM00044313","1986-04","47.617","118.617","688.0","KHALKH GOL, MG","1","2,S","0","2,S","0","2,S","","","","","","","1","2,S","0","2,S","0","2,S","","","","","19860418",",2,S","19860429",",2,S","","","","","1.8","2,,S,18,","19.6","2,S,29,","1.8","2,,,S","","","9.26","2,,,S","",""
"MGM00044313","1986-05","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","4,S","12","4,S","0","4,S","","","","","","","19860528",",4,S","","","","","","","29.1","4,S,28,","","","","","19.42","4,,,S","",""
"MGM00044313","1986-06","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","3,S","25","3,S","1","3,S","","","","","","","19860606",",3,S","","","","","","","32.5","3,S,06,","","","","","26.30","3,,,S","",""
"MGM00044313","1986-07","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","4,S","24","4,S","0","4,S","","","","","","","19860701",",4,S","","","","","","","30.2","4,S,01,","","","","","23.73","4,,,S","",""
"MGM00044313","1986-10","47.617","118.617","688.0","KHALKH GOL, MG","0","5,S","0","5,S","0","5,S","","","","","","","6","4,S","2","4,S","0","4,S","","","","","19861031","+,5,S","19861001",",4,S","","","","","0.0","5,,S,31,+","23.1","4,S,01,","0.0","5,,,S","","","8.91","4,,,S","",""
"MGM00044313","1986-11","47.617","118.617","688.0","KHALKH GOL, MG","1","5,S","0","5,S","0","5,S","","","","","","","","","","","","","","","","","19861120",",5,S","","","","","","","0.3","5,,S,20,","","","0.3","5,,,S","","","","","",""
"MGM00044313","1986-12","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","27","4,S","0","4,S","0","4,S","","","","","","","19861211",",4,S","","","","","","","-5.1","4,S,11,","","","","","-13.44","4,,,S","",""
"MGM00044313","1987-02","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","24","4,S","0","4,S","0","4,S","","","","","","","19870205",",4,S","","","","","","","-2.3","4,S,05,","","","","","-11.59","4,,,S","",""
"MGM00044313","1987-03","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","22","5,S","0","5,S","0","5,S","","","","","","","19870318",",5,S","","","","","","","2.5","5,S,18,","","","","","-5.02","5,,,S","",""
"MGM00044313","1987-05","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","5,S","6","5,S","0","5,S","","","","","","","19870531",",5,S","","","","","","","28.1","5,S,31,","","","","","16.35","5,,,S","",""
"MGM00044313","1987-07","47.617","118.617","688.0","KHALKH GOL, MG","","","","","","","","","","","","","0","4,S","26","4,S","3","4,S","","","","","","","19870728",",4,S","","","","","","","35.3","4,S,28,","","","","","27.06","4,,,S","",""
