"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014944","1932-01","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","0.0","X","0.0",",X","7",",X","1",",X","0",",X","","","2",",X","7",",X","31",",X","28",",X","0",",X","0",",X","1","","","","19320130",",,X","","","19320116",",,X","","","19320116",",,X","19320119",",,X","-28.9",",X,30,","","","152",",,X,16,","16.8",",,X,16,","3.3",",X,19,","","","","","851.7",",X","","","","","22.9",",,,X","","","","","","","","","228",",,,X","-9.14",",X","-4.74",",,,X","-13.55",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-02","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","0.0","X","0.0",",X","3",",X","2",",X","0",",X","","","2",",X","4",",X","25",",X","14",",X","0",",X","0",",X","","","","","19320203",",,X","","","19320216",",,X","","","19320216",",,X","19320228",",,X","-23.3",",X,03,","","","191",",,X,16,","17.3",",,X,16,","12.8",",X,28,","","","","","683.8",",X","","","","","21.2",",,,X","","","","","","","","","242",",,,X","-5.25",",X","-0.20",",,,X","-10.30",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-03","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","0.0","X","0.0",",X","9",",X","5",",X","0",",X","","","3",",X","5",",X","28",",X","11",",X","0",",X","0",",X","","","","","19320308","+,,X","","","19320320",",,X","","","19320320",",,X","19320329",",,X","-22.2",",X,08,+","","","127",",,X,20,","15.2",",,X,20,","17.2",",X,29,","","","","","694.3",",X","","","","","38.8",",,,X","","","","","","","","","254",",,,X","-4.06",",X","0.99",",,,X","-9.12",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-04","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","0.0","X","0.0",",X","8",",X","5",",X","0",",X","0",",X","0",",X","0",",X","8",",X","0",",X","1",",X","0",",X","","","","","19320412",",,X","19320430","+,,X","19320430","+,,X","1","","19320424",",,X","19320422",",,X","-5.0",",X,12,","0",",,X,30,+","0",",,X,30,+","16.0",",,X,24,","22.2",",X,22,","","","","","278.5",",X","","","","","47.4",",,,X","","","","","","","","","0",",,,X","9.05",",X","14.55",",,,X","3.55",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-05","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","24.5","X","24.5",",X","10",",X","10",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","19",",X","1",",X","","","","","19320501",",,X","19320531","+,,X","19320531","+,,X","","","19320531",",,X","19320514",",,X","0.6",",X,01,","0",",,X,31,+","0",",,X,31,+","20.3",",,X,31,","32.8",",X,14,","","","","","97.0",",X","","","","","84.5",",,,X","","","","","","","","","0",",,,X","15.99",",X","22.65",",,,X","9.33",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-06","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","103.5","X","79.0",",X","12",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","","","","","19320613",",,X","19320630","+,,X","19320630","+,,X","","","19320620",",,X","19320624",",,X","8.9",",X,13,","0",",,X,30,+","0",",,X,30,+","33.5",",,X,20,","32.2",",X,24,","","","","","3.1",",X","","","","","88.7",",,,X","","","","","","","","","0",",,,X","20.86",",X","26.81",",,,X","14.91",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-07","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","282.9","X","179.4",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","16",",X","","","","","19320702",",,X","19320731","+,,X","19320731","+,,X","1","","19320703",",,X","19320727",",,X","7.8",",X,02,","0",",,X,31,+","0",",,X,31,+","16.3",",,X,03,","38.3",",X,27,","","","1.4","X","1.4",",X","","","","","30.3",",,,X","","","","","","","","","0",",,,X","24.08",",X","30.99",",,,X","17.16",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-08","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","383.9","X","101.0",",X","8",",X","7",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","3",",X","","","","","19320809",",,X","19320831","+,,X","19320831","+,,X","1","","19320809",",,X","19320805","+,,X","6.1",",X,09,","0",",,X,31,+","0",",,X,31,+","63.8",",,X,09,","35.0",",X,05,+","","","9.5","X","8.1",",X","","","","","237.0",",,,X","","","","","","","","","0",",,,X","21.33",",X","27.61",",,,X","15.05",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-09","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","390.9","X","7.0",",X","6",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","17",",X","0",",X","","","","","19320929",",,X","19320930","+,,X","19320930","+,,X","","","19320911",",,X","19320918",",,X","0.6",",X,29,","0",",,X,30,+","0",",,X,30,+","40.1",",,X,11,","27.2",",X,18,","","","102.8","X","93.3",",X","","","","","65.6",",,,X","","","","","","","","","0",",,,X","15.46",",X","21.96",",,,X","8.95",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-10","43.57751","-96.75387","432.4","SIOUX FALLS FOSS FIELD, SD US","","","","","","","","","","","390.9","X","0.0","1,X","5","1,X","4","1,X","0","1,X","0","5,X","0","1,X","0","1,X","9","1,X","0","1,X","4","1,X","0","1,X","","","","","19321029",",1,X","19321031","+,5,X","19321009",",1,X","","","19321022",",1,X","19321002",",1,X","-5.0","1,X,29,","0","5,,X,31,+","5","1,,X,09,","16.0","1,,X,22,","27.2","1,X,02,","","","421.0","X","318.2","1,X","","","","","41.1","1,,,X","","","","","","","","","5","1,,,X","7.73","1,X","13.21","1,,,X","2.24","1,,,X","","","","","","","","","","","","","","","","","","","",""
