"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024172","1948-07","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","","","130.8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","19480705",",,0","19480731","+,,0","19480731","+,,0","1","","19480712","+,,0","19480731","+,,0","4.4",",0,05,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,12,+","37.2",",0,31,+","3.4","0","3.4",",0","0.0",",T,,0","","","","","","","0",",,,0","22.44",",0","33.36",",,,0","11.53",",,,0","","","","","","","","","",""
"USW00024172","1948-08","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","","","76.1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","","","19480829","+,,0","19480831","+,,0","19480831","+,,0","1","","19480807",",,0","19480829","+,,0","5.6",",0,29,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,07,","35.6",",0,29,+","7.8","0","4.4",",0","0.0",",T,,0","","","","","","","0",",,,0","20.64",",0","32.42",",,,0","8.87",",,,0","","","","","","","","","",""
"USW00024172","1948-09","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","","","31.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","27",",0","9",",0","","","","","19480927",",,0","19480930","+,,0","19480930","+,,0","","","19480918",",,0","19480902",",,0","-5.0",",0,27,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,18,","36.1",",0,02,","95.2","0","87.4",",0","0.0",",T,,0","","","","","","","0",",,,0","16.46",",0","28.17",",,,0","4.75",",,,0","","","","","","","","","",""
"USW00024172","1948-11","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","","","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","0",",0","0",",0","","","","","19481127",",,0","19481130","+,,0","19481126","+,,0","","","19481103",",,0","19481102",",,0","-16.7",",0,27,","0",",,0,30,+","0",",T,0,26,+","0.5",",,0,03,","18.3",",0,02,","","","519.3",",0","0.5",",,,0","","","","","","","0",",T,,0","1.02",",0","10.66",",,,0","-8.62",",,,0","","","","","","","","","",""
"USW00024172","1948-12","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","","","0.0",",0","4",",0","1",",0","0",",0","1",",0","0",",0","4",",0","29",",0","7",",0","0",",0","0",",0","5","","","","19481224",",,0","19481215",",,0","19481226","+,,0","","","19481214",",,0","19481212",",,0","-26.1",",0,24,","25",",,0,15,","13",",,0,26,+","5.1",",,0,14,","13.9",",0,12,","","","674.3",",0","6.9",",,,0","","","","","","","39",",,,0","-3.42",",0","4.14",",,,0","-10.97",",,,0","","","","","","","","","",""
"USW00024172","1949-01","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","5",",0","0",",0","19",",0","5",",0","24",",0","31",",0","27",",0","0",",0","0",",0","15","","","","19490125",",,0","19490122",",,0","19490119",",,0","","","19490119",",,0","19490101",",,0","-38.9",",0,25,","330",",,0,22,","170",",,0,19,","13.7",",,0,19,","7.8",",0,01,","","","1007.4",",0","34.8",",,,0","","","","","","","520",",,,0","-14.16",",0","-5.09",",,,0","-23.24",",,,0","","","","","","","","","",""
"USW00024172","1949-02","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","0.0","0","0.0",",0","4",",0","1",",0","0",",0","17",",0","2",",0","11",",0","26",",0","9",",0","0",",0","0",",0","9","","","","19490213",",,0","19490205",",,0","19490205",",,0","","","19490205",",,0","19490223",",,0","-30.0",",0,13,","229",",,0,05,","51",",,0,05,","4.1",",,0,05,","15.6",",0,23,","","","631.3",",0","8.1",",,,0","","","","","","","104",",,,0","-4.21",",0","4.49",",,,0","-12.91",",,,0","","","","","","","","","",""
"USW00024172","1949-03","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","0.0","0","0.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","0",",0","0",",0","","","","","19490329",",,0","19490331","+,,0","19490330","+,,0","1","","19490304",",,0","19490318",",,0","-7.8",",0,29,","0",",,0,31,+","0",",T,0,30,+","5.3",",,0,04,","20.0",",0,18,","","","410.9",",0","21.0",",,,0","","","","","","","0",",T,,0","5.08",",0","11.93",",,,0","-1.77",",,,0","","","","","","","","","",""
"USW00024172","1949-04","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","0.0","0","0.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","21",",0","0",",0","","","","","19490401",",,0","19490430","+,,0","19490430","+,,0","1","","19490407",",,0","19490423","+,,0","-6.1",",0,01,","0",",,0,30,+","0",",,0,30,+","4.6",",,0,07,","28.3",",0,23,+","","","198.6",",0","5.4",",,,0","","","","","","","0",",,,0","11.71",",0","22.28",",,,0","1.15",",,,0","","","","","","","","","",""
"USW00024172","1949-05","40.06843","-118.57018","1189.5","LOVELOCK DERBY FIELD AIRPORT, NV US","","","","","","","","","","","9.7","0","9.7",",0","12",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","2",",0","1","","","","19490507",",,0","19490531","+,,0","19490530",",,0","9","","19490530",",,0","19490526",",,0","0.6",",0,07,","0",",,0,31,+","0",",T,0,30,","11.7",",,0,30,","33.3",",0,26,","","","132.0",",0","44.3",",,,0","","","","","","","0",",T,,0","14.39",",0","22.72",",,,0","6.06",",,,0","","","","","","","","","",""
