"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FJM00091680","1961-01","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","20","4,I","6","4,I","2","4,I","0","1,I","0","1,I","","","","","","","19610116","+,1,I","19610110",",4,I","","","22.8","1,I,16,+","52.1","4,,I,10,","","","144.9","4,,,I","","","23.88","1,,,I"
"FJM00091680","1961-02","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","26",",I","19",",I","7",",I","0","3,I","0","3,I","","","","","","","19610208",",3,I","19610204",",,I","","","21.7","3,I,08,","90.9",",,I,04,","","","474.9",",,,I","","","23.09","3,,,I"
"FJM00091680","1961-03","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","20","3,I","6","3,I","0","3,I","0",",I","0",",I","","","","","","","19610328",",,I","19610310",",3,I","","","18.9",",I,28,","19.1","3,,I,10,","","","79.5","3,,,I","","","22.31",",,,I"
"FJM00091680","1961-04","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","0","2,I","0","2,I","","","","","","","19610428","+,2,I","","","","","20.6","2,I,28,+","","","","","","","","","21.92","2,,,I"
"FJM00091680","1961-05","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","0","1,I","0","1,I","","","","","","","19610521",",1,I","","","","","17.8","1,I,21,","","","","","","","","","21.33","1,,,I"
"FJM00091680","1961-06","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","0","1,I","0","1,I","","","","","","","19610621","+,1,I","","","","","16.7","1,I,21,+","","","","","","","","","20.35","1,,,I"
"FJM00091680","1961-08","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","0","4,I","0","4,I","","","","","","","19610816",",4,I","","","","","16.1","4,I,16,","","","","","","","","","18.53","4,,,I"
"FJM00091680","1961-09","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","21","5,I","7","5,I","2","5,I","0","2,I","0","2,I","","","","","","","19610925","+,2,I","19610921",",5,I","","","20.0","2,I,25,+","34.0","5,,I,21,","","","120.3","5,,,I","","","21.55","2,,,I"
"FJM00091680","1961-10","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","","","","","","","0",",","0",",I","","","","","","","19611004","+,,I","","","","","16.7",",I,04,+","","","","","","","","","20.73",",,,I"
"FJM00091680","1961-11","-17.7597","177.4447","22.0","NADI AIRPORT, FJ","25","2,I","13","2,I","3","2,I","0","1,I","0","1,I","","","","","","","19611116",",1,I","19611106",",2,I","","","20.0","1,I,16,","45.0","2,,I,06,","","","185.2","2,,,I","","","22.15","1,,,I"
