"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00411165","1943-07","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","19430731","+,,0","19430731","+,,0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","0",",,,0","","","","","","","",""
"USC00411165","1943-09","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","10",",0","10",",0","3",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","25","4,0","10","4,0","19430927",",4,0","19430930","+,,0","19430930","+,,0","","","19430927",",,0","19430914","+,4,0","12.8","4,0,27,","0",",,0,30,+","0",",,0,30,+","43.9",",,0,27,","35.6","4,0,14,+","","","","","","","144.8",",,,0","0",",,,0","24.91","8,0","30.64","4,,,0","19.18","4,,,0","",""
"USC00411165","1943-10","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","3",",0","2",",0","1",",0","0",",0","0",",0","0","5,0","0","5,0","0","5,0","24","5,0","0","5,0","19431028","+,5,0","19431031","+,,0","19431031","+,,0","","","19431013",",,0","19431029",",5,0","4.4","5,0,28,+","0",",,0,31,+","0",",,0,31,+","37.6",",,0,13,","29.4","5,0,29,","","","","","","","42.7",",,,0","0",",,,0","18.93","0,0","24.99","5,,,0","12.87","5,,,0","",""
"USC00411165","1943-11","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","6",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19431130","+,,0","19431130","+,,0","","","19431102",",,0","","","","","0",",,0,30,+","0",",,0,30,+","21.6",",,0,02,","","","","","","","","","54.8",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1943-12","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19431231","+,,0","19431231","+,,0","","","19431206",",,0","","","","","0",",,0,31,+","0",",,0,31,+","14.2",",,0,06,","","","","","","","","","47.7",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1944-01","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","6",",0","6",",0","0",",0","0","1,0","1",",0","","","","","","","","","","","","","19440131","+,1,0","19440119",",,0","","","19440102",",,0","","","","","0","1,,0,31,+","76",",,0,19,","22.4",",,0,02,","","","","","","","","","62.8",",,,0","76",",,,0","","","","","","","",""
"USC00411165","1944-02","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","9",",0","7",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","19440229","+,,0","19440229","+,,0","","","19440225",",,0","","","","","0",",,0,29,+","0",",,0,29,+","34.8",",,0,25,","","","","","","","","","86.4",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1944-03","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","5",",0","5",",0","0",",0","0",",0","0",",0","0","5,0","0","5,0","0","5,0","10","5,0","0","5,0","19440330","+,5,0","19440331","+,,0","19440331","+,,0","","","19440322",",,0","19440326",",5,0","0.6","5,0,30,+","0",",,0,31,+","0",",,0,31,+","23.6",",,0,22,","27.2","5,0,26,","","","","","","","64.2",",,,0","0",",,,0","13.17","0,0","18.91","5,,,0","7.42","5,,,0","",""
"USC00411165","1944-04","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19440430","+,,0","19440430","+,,0","","","19440430",",,0","","","","","0",",,0,30,+","0",",,0,30,+","20.6",",,0,30,","","","","","","","","","21.6",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1944-05","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","12",",0","10",",0","2",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","23","4,0","0","4,0","19440505",",4,0","19440531","+,,0","19440531","+,,0","","","19440525",",,0","19440521",",4,0","7.2","4,0,05,","0",",,0,31,+","0",",,0,31,+","69.9",",,0,25,","31.1","4,0,21,","","","","","","","209.6",",,,0","0",",,,0","20.31","8,0","25.08","4,,,0","15.54","4,,,0","",""
"USC00411165","1944-06","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","2",",0","1",",0","1",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","26","4,0","14","4,0","19440606",",4,0","19440630","+,,0","19440630","+,,0","","","19440606",",,0","19440620",",4,0","18.3","4,0,06,","0",",,0,30,+","0",",,0,30,+","32.8",",,0,06,","35.6","4,0,20,","","","","","","","34.1",",,,0","0",",,,0","26.63","8,0","31.61","4,,,0","21.66","4,,,0","",""
"USC00411165","1944-07","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19440731","+,,0","19440731","+,,0","","","19440704",",,0","","","","","0",",,0,31,+","0",",,0,31,+","4.8",",,0,04,","","","","","","","","","4.8",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1944-08","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","6",",0","6",",0","3",",0","0",",0","0",",0","0","4,0","0","4,0","0","4,0","27","4,0","23","4,0","19440828",",4,0","19440831","+,,0","19440831","+,,0","","","19440827",",,0","19440803","+,4,0","17.8","4,0,28,","0",",,0,31,+","0",",,0,31,+","111.8",",,0,27,","39.4","4,0,03,+","","","","","","","234.0",",,,0","0",",,,0","28.92","8,0","35.00","4,,,0","22.83","4,,,0","",""
"USC00411165","1944-09","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","4",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19440930","+,,0","19440930","+,,0","","","19440906",",,0","","","","","0",",,0,30,+","0",",,0,30,+","36.1",",,0,06,","","","","","","","","","55.4",",,,0","0",",,,0","","","","","","","",""
"USC00411165","1944-10","30.75","-98.41667","310.9","BUCHANAN DAM, TX US","","","","","4",",0","3",",0","1",",0","0",",0","0",",0","0","5,0","0","5,0","0","4,0","26","4,0","0","4,0","19441013",",5,0","19441031","+,,0","19441031","+,,0","","","19441004",",,0","19441001",",4,0","6.7","5,0,13,","0",",,0,31,+","0",",,0,31,+","58.9",",,0,04,","31.7","4,0,01,","","","","","","","70.1",",,,0","0",",,,0","19.87","9,0","26.86","4,,,0","12.88","5,,,0","",""
