,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,SF000068296,2021-03,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,220.0,"2,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",29.0,"2,S",22.0,"2,S",20210329.0,",2,S",20210311.0,",2,S",13.0,"2,S,29,",38.8,"2,S,11,",,,0.0,"2,S",25.92,"2,S",33.62,"2,,,S",18.22,"2,,,S"
1,SF000068296,2021-04,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,119.0,"3,S",0.0,"2,S",0.0,"2,S",0.0,"3,S",27.0,"3,S",20.0,"3,S",20210419.0,",2,S",20210402.0,"+,3,S",6.5,"2,S,19,",36.2,"3,S,02,+",,,0.2,"3,S",22.71,"3,S",32.55,"3,,,S",12.88,"2,,,S"
2,SF000068296,2021-05,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20210528.0,"+,3,S",,,4.3,"3,S,28,+",,,,,,,,,,,8.75,"3,,,S"
3,SF000068296,2021-06,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,,,0.0,",S",0.0,",S",,,,,,,20210616.0,",,S",,,2.4,",S,16,",,,,,,,,,,,5.86,",,,S"
4,SF000068296,2021-07,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,9.6,S,9.6,"4,S",0.0,",S",1.0,",S",0.0,"4,S",27.0,"4,S",5.0,"4,S",20210724.0,",,S",20210705.0,"+,4,S",-2.8,",S,24,",32.9,"4,S,05,+",,,65.3,"4,S",16.21,"4,S",28.24,"4,,,S",4.19,",,,S"
5,SF000068296,2021-09,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,107.6,"1,S",0.0,",S",0.0,",S",0.0,"1,S",29.0,"1,S",18.0,"1,S",20210913.0,",,S",20210915.0,",1,S",4.9,",S,13,",39.2,"1,S,15,",,,2.7,"1,S",22.06,"1,S",32.42,"1,,,S",11.7,",,,S"
6,SF000068296,2021-12,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,253.2,"2,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",29.0,"2,S",22.0,"2,S",20211218.0,",2,S",20211213.0,"+,2,S",15.6,"2,S,18,",40.7,"2,S,13,+",,,0.0,"2,S",27.06,"2,S",34.0,"2,,,S",20.13,"2,,,S"
7,SF000068296,2022-01,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,232.3,"3,S",0.0,"3,S",0.0,"3,S",0.0,"3,S",28.0,"3,S",20.0,"3,S",20220124.0,",3,S",20220106.0,"+,3,S",18.2,"3,S,24,",35.9,"3,S,06,+",0.0,S,0.0,"3,S",26.63,"3,S",33.06,"3,,,S",20.19,"3,,,S"
8,SF000068296,2022-04,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,132.2,"5,S",0.0,"4,S",0.0,"4,S",0.0,"5,S",25.0,"5,S",14.0,"5,S",20220429.0,",4,S",20220407.0,"+,5,S",9.3,"4,S,29,",38.0,"5,S,07,+",,,0.0,"5,S",23.62,"5,S",31.7,"5,,,S",15.54,"4,,,S"
9,SF000068296,2022-05,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,75.0,"1,S",0.0,"1,S",0.0,"1,S",0.0,"1,S",28.0,"1,S",4.0,"1,S",20220531.0,",1,S",20220514.0,"+,1,S",7.7,"1,S,31,",32.6,"1,S,14,+",,,3.9,"1,S",20.7,"1,S",29.51,"1,,,S",11.9,"1,,,S"
10,SF000068296,2022-06,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,7.7,"3,S",0.0,"3,S",0.0,"3,S",0.0,"3,S",27.0,"3,S",0.0,"3,S",20220617.0,",3,S",20220620.0,"+,3,S",0.3,"3,S,17,",30.4,"3,S,20,+",,,51.1,"3,S",16.73,"3,S",27.18,"3,,,S",6.27,"3,,,S"
11,SF000068296,2022-07,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,23.6,S,23.6,"2,S",0.0,"2,S",0.0,"2,S",0.0,"1,S",30.0,"1,S",0.0,"1,S",20220701.0,",2,S",20220705.0,"+,1,S",2.9,"2,S,01,",31.8,"1,S,05,+",,,17.9,"1,S",18.58,"2,S",29.01,"1,,,S",8.15,"2,,,S"
12,SF000068296,2022-08,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,81.6,S,58.0,"5,S",0.0,"2,S",0.0,"2,S",0.0,"4,S",27.0,"4,S",14.0,"4,S",20220820.0,",2,S",20220814.0,",4,S",2.5,"2,S,20,",37.1,"4,S,14,",,,7.2,"4,S",20.52,"5,S",31.63,"4,,,S",9.41,"2,,,S"
13,SF000068296,2022-12,-24.983,31.6,271.0,"SKUKUZA, SF",,,,,,,,,,,,,,,223.8,"3,S",0.0,"3,S",0.0,"3,S",0.0,"3,S",27.0,"3,S",21.0,"3,S",20221226.0,",3,S",20221216.0,"+,3,S",9.5,"3,S,26,",38.1,"3,S,16,+",,,7.5,"3,S",26.06,"3,S",33.28,"3,,,S",18.84,"3,,,S"
14,SF000068438,2021-01,-28.8,24.767,1196.0,"KIMBERLEY, SF",,,,,,,,,,,,,,,,,,,,,0.0,"2,S",29.0,"2,S",7.0,"2,S",,,20210124.0,"+,2,S",,,34.3,"2,S,24,+",,,,,,,30.21,"2,,,S",,
15,SF000068438,2021-02,-28.8,24.767,1196.0,"KIMBERLEY, SF",,,,,,,,,,,,,,,,,,,,,0.0,"3,S",25.0,"3,S",17.0,"3,S",,,20210219.0,"+,3,S",,,34.9,"3,S,19,+",,,,,,,32.45,"3,,,S",,
